Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,518,,,,,,,12641,,13997,,,,13302,,5888,,51509,,15104,,,,,,,,,
2017-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,1766412,,1042,12950174,,,,,,1013,,13812,,,,12352,,85528,,51007,,6861,,5751345,,9568943,,,,,
2016-Q4,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,2244295,,1426,12763024,,,,,,670217,,180877,,,,269083,,577225,,96479,,16771577,,-946932,,7759400,,,,,
2015-Q4,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,113893988,,,2485802,,1822,14473599,,,,,,755123,,25485,,0,,139178,,0,,0,,0,,,,7409365,,,,,
2014-Q4,,,,,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,107498866,,,4201303,,,11862228,,,,,,0,,38304,,0,,88589,,0,,0,,0,,,,7945241,,,,,
2013-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,97548909,,,4777922,,,13675985,,,,,,35672,,0,,11288,,89715,,0,,0,,0,,,,6626167,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
