Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,,,,,,,,,,,,,18424,79,102195,77,0,0,0,0,7316,403,155,24,1998,0,-4001462,525724,92633,0,0,18424,2153,
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,11105745,0.1762,194619,1104533,,-1119088,7301366,1123659,1983981,-860322,,18424,79,102195,77,0,0,0,0,7316,403,155,24,1998,0,-4001462,525724,92633,0,0,18424,2153,
2018-Q2,30689096,31275278,0.1781,433375,2433959,178,1607153,21088269,3754837,1341340,2413497,1880,91955,401,322133,46,108913,47,0,0,27529,1656,17325,542,29100,0,2721078,3029890,539482,3187,0,91955,46425,
2018-Q1,30097213,32301060,0.1781,215767,1211813,384,1701456,21703869,3864447,1228929,2635517,2129,78268,539,323306,81,108913,47,0,0,31801,1788,16802,356,21233,0,2597773,-1247816,-222178,1500,0,78268,38035,
2017,126161439,133170100,0.1781,1784953,10024820,2836,7066939,87863422,15644377,5131629,10512748,4944,348191,1561,1660260,374,435653,187,0,0,106339,6735,66861,1661,88777,0,10284467,1704718,303531,8381,0,894937,155638,
2017-Q4,30689096,31275278,0.1781,433375,2433959,178,1607153,21088269,3754837,1341340,2413497,1880,91955,401,322133,46,108913,47,0,0,27529,1656,17325,542,29100,0,2721078,3029890,539482,3187,0,91955,46425,
2017-Q3,30097213,32301060,0.1781,215767,1211813,384,1701456,21703869,3864447,1228929,2635517,2129,78268,539,323306,81,108913,47,0,0,31801,1788,16802,356,21233,0,2597773,-1247816,-222178,1500,0,78268,38035,
2017-Q2,32783497,33855619,0.1781,588024,3302517,1076,1854102,22079328,3931298,1252436,2678862,2185,88604,495,542601,233,108913,47,0,0,24748,1801,16318,451,16069,0,2667270,358621,63854,2921,0,88604,32387,
2017-Q1,32591634,35738142,0.1781,547786,3076530,1198,1904437,22991956,4093795,1308923,2784872,2331,89364,126,472220,14,108913,47,0,0,21326,1490,16416,312,22375,0,2299056,-435977,-77627,773,0,89364,38791,
2016,128764577,140007171,0.1769,2202545,12450457,3796,4777154,84456886,14940826,6537568,8403258,7201,495774,817,2552223,762,245121,0,0,0,98046,5439,87183,1659,86082,0,1028318,-1399673,-247609,6897,20749,786012,173265,
2016-Q4,31522729,35896907,0.1769,912086,5155801,936,709294,20839387,3686587,1628475,2058112,3134,143604,315,767773,299,61280,0,0,0,15322,1377,21865,414,34800,0,278159,-2216073,-392034,1733,6480,433842,56665,
2016-Q3,33363189,33486672,0.1836,412491,2331710,965,623985,20203014,3574009,1535952,2038057,3200,87750,202,235449,63,61280,0,0,0,29749,1381,22684,482,17782,0,389401,-1234734,-218430,1800,4738,87750,40466,
2016-Q2,28929128,35101014,0.1578,471503,2665290,958,1576857,19861954,3513674,1529236,1984438,2894,88108,271,1087162,335,61280,0,0,0,29896,1300,18468,148,16913,0,87861,2332887,412699,645,4282,88108,35381,
2016-Q1,34949531,35522578,0.1776,406466,2297656,937,1883499,23552531,4166555,1843905,2322650,3190,176312,29,461839,65,61280,0,0,0,23079,1381,24166,615,16587,0,272897,-281753,-49843,2719,5249,176312,40753,
2015,139841570,136426142,0.2040,3049974,14948440,3766,10059789,95274287,20854510,8204950,12649560,13086,582897,1408,2066386,356,199808,0,0,0,270576,6130,0,0,75333,0,8427386,6641238,1354813,8048,23420,649656,75333,
2015-Q4,39874035,35209134,0.2449,1865097,9142634,2266,2441302,23111420,5069345,2004387,3064958,3139,154724,555,2007371,325,49952,0,0,0,32519,2089,0,0,19171,0,2068429,2358131,481059,2554,7559,375579,19171,
