Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,541,,,,,,,16672,,22674,,,,0,,11112,,0,,12556,,,,,,,,,
2017-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,2037928,,925,,,,,,,25417,,61468,,,,0,,134745,,0,,5320,,,,,,,,,
2016-Q4,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,2358080,,957,4904289,,,,,,545542,,19970,,77845,,37386,,85715,,47657,,42670,,-302853,,4034231,,,,,
2015-Q4,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,88772771,,,2849691,,1397,2947843,,,,,,545271,,80700,,0,,99525,,196100,,23280,,69396,,,,3251082,,,,,
2014-Q4,,,,,,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,83111225,,,4588102,,,-1817130,,,,,,557457,,106870,,0,,63349,,211805,,8680,,63844,,,,3917589,,,,,
2013-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,81515113,,,3718688,,,-591813,,,,,,484957,,66205,,0,,64155,,215400,,7494,,62848,,,,4830625,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
