Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,3295082,,,14640228,,,,,,,,12120604,,,,,,458000,,272972,,,,35885609,,8827057,,,,,
2016-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,3350113,,,11207405,,,,,,,,7713979,,,,,,450833,,197197,,,,12150270,,10879324,,,,,
2015-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,281704806,,,1767394,,,15247971,,,,,,37961,,6184801,,,,,,372000,,350843,,0,,3284978,,6390933,,,,,
2014-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,274094851,,,3459116,,,11417930,,,,,,100820,,6087403,,,,,,372000,,223318,,0,,11519164,,5260681,,,,,
2013-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,280925406,,,3113019,,,12223622,,,,,,112357,,6050134,,,,,,372000,,226158,,0,,13695919,,6168791,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
