Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,77159486,71798046,0.2162,-47557,-341300,,,,,,,,,,,,,,,,,,,,,1955163,,,,
2015-Q4,18720853,17890124,0.203531096,-131580.8652,-705209,,,,,,,,,,,,,,,,,,,,,934217,,,,
2015-Q3,19934054,19669518,0.214028682,38077.67121,174481,,,,,,,,,,,,,,,,,,,,,161764,,,,
2015-Q2,19214707.13,16288892.5,0.232430909,64396.0046,274753.375,,,,,,,,,,,,,,,,,,,,,370391.25,,,,
2015-Q1,19289871.38,17949511.5,0.216231402,-18449.91731,-85324.875,,,,,,,,,,,,,,,,,,,,,488790.75,,,,
2014,72987644,76433375,0.1955,771013,3943801,360,176037,3844746,19587152,,75926,4065,170928,59,2261374,0,0,0,105468,2102,25904,24,85532,0,1874955,-1019988,17221,9628,2100636,111436
2014-Q4,,19108344,,,,,,,,,18789,1070,91520,15,0,0,0,0,23969,101,7553,7,28536,0,,,5214,4884,18789,36089
2014-Q3,,19108344,,,,,,,,,24759,1244,5250,3,0,0,0,0,7368,10,1653,0,15784,0,,,7768,2665,24759,17437
2014-Q2,,19108344,,92099,489435,41,1028395,1800815,9103123,3,20539,915,24342,41,0,0,0,0,6474,1979,5277,5,21614,0,,,2707,1370,20539,26891
2014-Q1,,19108344,,448227,2233512,33,261300,495942,2471275,6,11839,836,61211,12,0,0,0,0,1366,12,1686,0,19598,0,,,1532,710,11839,21284
