Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016-Q3,,,,422032,935480,,,,,,,,,,,,,,,,,,,,,3683499,,,,
2016-Q2,,,,313324,694577,,,,,,,,,,,,,,,,,,,,,4051951,,,,
2016-Q1,,,,420845,932930,,,,,,,,,,,,,,,,,,,,,6607824,,,,
2015,0,0,0.4511,919132,2037355,,10004275,29804133,74404150,,0,,0,,0,,0,,0,,0,,0,,16257978,15941802,3661,0,0,0
2015-Q4,,,,229783,360187,,2501069,7451033,18601038,,,,,,,,,,,,,,,,4064495,6889083,,,,
2015-Q3,,,,229783,692977,,2501069,7451033,18601038,,,,,,,,,,,,,,,,4064495,803979,,,,
2015-Q2,,,,229783,419347,,2501069,7451033,18601038,,,,,,,,,,,,,,,,4064495,3713339,,,,
2015-Q1,,,,229783,564844,,2501069,7451033,18601038,,,,,,,,,,,,,,,,4064495,4535401,,,,
2014,173997289,92600030,,1737136,,,20960770,,,,0,,0,,0,,0,,0,,0,,0,,13479115,18204915,0,0,0,0
2014-Q4,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,3369779,4551229,,,,
2014-Q3,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,3369779,4551229,,,,
2014-Q2,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,3369779,4551229,,,,
2014-Q1,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,3369779,4551229,,,,
2013,166183033,82045747,,608751,,,16773739,,,,0,,0,,0,,0,,0,,0,,0,,30579722,22648981,0,0,0,0
2013-Q4,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,7644931,5662245,,,,
2013-Q3,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,7644931,5662245,,,,
2013-Q2,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,7644931,5662245,,,,
2013-Q1,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,7644931,5662245,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
