Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016-Q3,,,,1690201,10369332,,-1792623,9720588,44881403,4663,,,,,,,,,,,,,,,1026401,-3820590,,,,
2016-Q2,44653216,,0,1539799,9605733,,697512,6680937,41677708,4547,,,,,,,,,,,,,,,1034791,3872423,,0,0,0
2016-Q1,46625436,,0,950487,5701782,,-566856,8459351,50745958,5535,,,,,,,,,,,,,,,434368,-2283541,,0,0,0
2015,181666844,173471949,0.1719,5137080,29885457,4707,-1453102,33697609,196030302,22094,153392,6600,863367,986,81964,155,52028,0,7670,0,298,35,73898,0,5116153,13049938,397278,651,258251,74196
2015-Q4,"49,105,353","34,208,953",0.2006,1963714,"11,423,581",2423,-389159,7988615,46472456,5429,,,,,20491,39,,,,,,,,,1243019,11793003,,,104859,
2015-Q3,"43,754,849","44,669,336",0.1801,845791,4920252,638,-486656,8429951,49039855,5562,,,,,20491,39,,,,,,,,,1281125,1847171,,,0,
2015-Q2,"44,772,032","47,644,356",0.1761,1199532,6978081,1003,-263502,8543360,49699591,5537,82949,3139,17079,153,20491,39,21355,0,0,0,298,35,41737,0,1325649,1909221,110502,280,82949,42035
2015-Q1,"44,034,610","46,949,304",0.1762,990186,5760245,938,-312276,8735683,50818400,5566,70443,3461,846288,833,20491,39,30673,0,7670,0,0,0,32161,0,1266357,1105067,118815,371,70443,32161
2014,175547796,184786466,0.1641,5622088,34257237,5612,-4624926,33227543,202466381,28226,749970,13221,914476,2278,1069799,0,122939,0,239561,96,3774,371,81209,0,1012255,7037900,441056,1167,1819769,84983
2014-Q4,,46196617,0.1667,172788,1036411,981,-1156232,9388776,57136962,8465,178012,2976,143525,198,1069799,0,26116,0,0,0,0,0,49893,0,134279,-1026307,115503,182,497279,49893
2014-Q3,,46196617,0.1496,628912,4203321,902,-1156232,8644772,53865450,5231,244693,4270,252675,234,0,0,15239,0,76020,13,755,110,8820,0,-486455,2632112,102260,99,244693,9575
2014-Q2,,46196617,0.1676,1601779,9556191,1037,-1156232,8196474,49153464,7629,186841,3185,123434,1414,0,0,30223,0,87443,32,943,125,10604,0,-190050,2419222,121297,256,186841,11547
2014-Q1,,46196617,0.1654,3218609,19461314,2692,-1156232,6997521,42310505,6901,140424,2790,394842,432,0,0,51361,0,76098,51,2076,136,11892,0,-153858,3012873,101996,631,140424,13968
2013,180974014,179635727,0.1776,7217929,40641492,2106,287895,25941567,146099080,26540,815051,14057,1111188,3358,1177476,0,179104,204,292985,161,7421,4573,58141,0,2974532,16428021,874078,28865,1992527,65562
2013-Q4,,44908932,0.1783,2350550,13186635,427,-632581,7283488,40822801,6772,175482,3052,227097,225,1177476,0,147975,0,87648,36,5702,4293,13238,0,445272,6286917,136064,26248,4439680,18940
2013-Q3,,44908932,0.1627,1658581,10196573,652,353752,6164766,38047571,6411,209076,3621,267270,2600,0,0,0,0,52871,46,441,65,15158,0,347162,5443077,196501,280,209076,15599
2013-Q2,,44908932,0.1855,2123478,11446332,661,492774,6183917,33390238,6539,219784,3341,220303,208,0,0,13909,88,90988,52,873,150,14380,0,1392463,90104,192792,1749,219784,15253
2013-Q1,,44908932,0.1865,1085320,5820774,366,73950,6309396,33838470,6818,210709,4043,396518,325,0,0,17220,116,61478,27,405,65,15365,0,789635,4607923,248777,588,210709,15770
