Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2014,111711171,99575197,0.1691,7772735,45965316,519,2247944,9794910,54500591,132,51698,3276,312468,257,866003,0,23000,0,17516,105,20559,1284,12774,29,734687,1817899,202136,2701,401835,64472
2014-Q4,,,,,,,,,,,6334,336,88250,75,,,23000,0,6566,41,0,0,683,15,,,,685,6773,359
2014-Q3,,,,,,,,,,,16446,1076,45458,41,,,0,0,3788,62,2014,0,2329,0,,,,945,15543,6857
2014-Q2,,,,1393725,8089097,231,1617430,6482786,36354304,87,12924,941,138722,92,,,0,0,6441,0,12828,164,3322,14,,,,272,12626,16216
2014-Q1,,,,3911567,21430478,288,797729,3312124,18146287,45,15994,923,40038,49,,,0,0,721,2,5717,1120,6440,0,,,,635,15653,8248
2013,115398413,107681540,0.1823,4391960,24098591,1120,2309373,0,90855169,31018,92862,4205,554802,323,74694,0,22451,0,834272,101,75424,2592,18187,20,-245160,28454120,193217,4749,74694,93773
2013-Q4,,,,,,,,,,,22019,1246,363793,155,,,22451,0,823047,81,3856,120,3612,19,,,,627,21557,8477
2013-Q3,,,,,,,,,,,24678,1297,21881,29,,,0,0,3207,0,52843,1452,4672,0,,,,2376,25012,55276
2013-Q2,,,,,,,,,,,25424,935,131697,94,,,0,0,6304,0,6936,315,4098,0,,,,177,18128,9688
2013-Q1,,,,,,,,,,,20741,727,37431,45,,,0,0,1714,20,11789,705,5805,1,,,,462,20496,15652
2012,113181943,122168834,0.1949,5992421,30741721,3347,11362997,0,121137126,36439,237350,5251,655475,386,242963,0,0,0,553455,11575,177878,2664,25960,0,-8454994,14101282,317914,7332,242963,203838
2012-Q4,,,,,,,,,,,196582,3401,532824,222,,,0,0,520802,11211,84265,1292,17675,0,,,,1266,198767,105078
2012-Q3,,,,,,,,,,,21448,804,17844,31,,,0,0,17321,152,48962,1050,8285,0,,,,3205,18429,51820
2012-Q2,,,,,,,,,,,8235,424,83026,95,,,0,0,2287,0,21318,282,0,0,,,,458,8235,23346
2012-Q1,,,,,,,,,,,11085,622,21781,38,,,0,0,13045,212,23333,40,0,0,,,,926,13077,32248
2011,,,,,,,,,,,835075,19587,666574,461,0,0,6013,100,40189,9270,296977,4615,25926,0,,4407047,243712,,1261626,789504
2011-Q4,,,,,,,,,,,224083,2776,390273,165,,,0,0,264924,5510,64535,898,8001,0,,,,,224083,72536
2011-Q3,,,,,,,,,,,26141,605,17103,41,,,0,0,16537,802,85448,1840,0,0,,,,,26141,85448
2011-Q2,,,,,,,,,,,564164,15801,412095,188,,,6013,100,30632,2434,133368,1709,17925,0,,,,,563664,151293
2011-Q1,,,,,,,,,,,20687,405,41523,67,,,0,0,3221,524,13626,168,0,0,,,,,20687,13626
2010,,,,,,,,,,,569268,5311,965835,371,2600995,3045,0,0,163833,9695,152156,3952,14703,0,,4469381,125225,,1364807,421958
2010-Q4,,,,,,,,,,,20736,672,81910,108,,,0,0,2920,532,8484,85,0,0,,,,,20736,8484
2010-Q3,,,,,,,,,,,173138,326,157993,55,,,0,0,11391,422,77771,1235,0,0,,,,,1401807,77771
2010-Q2,,,,,,,,,,,360003,3926,707793,110,1372326,3045,0,0,34313,8148,64368,2632,14703,0,,,,,1732329,79071
2010-Q1,,,,,,,,,,,15391,387,61460,98,,,0,0,6338,593,1533,0,0,0,,,,,15391,1533
2009,,,,,,,,,,,538595,4135,652350,182,1586432,2015,0,0,33113,4817,307862,6445,13281,0,,,,,,
2009-Q4,,,,,,,,,,,13649,547,21034,28,,,0,0,6021,569,2216,100,0,0,,,,,,
2009-Q3,,,,,,,,,,,18525,483,268941,98,,,0,0,8015,1138,65705,1050,0,0,,,,,,
2009-Q2,,,,,,,,,,,483565,2851,330936,22,1586432,2015,0,0,12180,1829,129938,5295,13281,0,,,,,,
2009-Q1,,,,,,,,,,,22856,254,31439,34,,,0,0,6897,1281,0,0,0,0,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
