Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2014,245443867,237543246,0.1783,4949867,27761453,1371,7299825,,,20890,133335,10064,9024678,832,1574854,0,94600,0,12961,32,24718,412,8040,150,-8846644,10289430,143140,5936,1371732,141375
2014-Q4,,,0.1892,,2698745,605,2353328,,,279,41379,3147,386476,215,1440980,0,94600,0,1799,0,2506,44,1416,0,,,,,,
2014-Q3,,,,,5843732,161,1941020,2496080,13864670,20359,31884,1951,230364,150,0,0,0,0,1584,16,6576,318,1589,30,,,,,,
2014-Q2,,,,1044183,5597208,317,1038108,3808135,20012785,225,36104,2729,162261,125,0,0,0,0,4893,16,8224,24,3208,60,,,,,,
2014-Q1,,,,2694830,13621768,288,1967369,2569155,12986509,27,23968,2237,366871,342,0,0,0,0,4651,0,7412,26,1827,60,,,,,,
2013,257428089,245111082,0.2065,4094554,19828349,1409,8755784,15521314,75150575,23719,98178,7294,6093615,804,780375,0,124913,0,724942,128,38645,951,10403,347,6199256,13375675,143247,8452,780375,49048
2013-Q4,,,,,,,,,,,33676,1830,5604365,313,967183,0,124913,0,713119,110,22072,80,2465,210,,,,,,
2013-Q3,,,,,,,,,,,19881,1158,148358,166,0,0,0,0,6126,0,1795,200,3221,123,,,,,,
2013-Q2,,,,,,,,,,,21300,2219,156717,176,0,0,0,0,4958,0,8240,551,3442,14,,,,,,
2013-Q1,,,,,,,,,,,23321,2087,184175,149,0,0,0,0,739,18,6538,120,1275,0,,,,,,
2012,231811553,264196310,0.2166,3872560,17878855,2184,11495097,18751321,88421943,25777,200114,12615,5386910,485,2921496,0,0,0,390548,547,79309,430,3709,30,4742517,11800379,19563,24053,2921496,83018
2012-Q4,,,,,,,,,,,95747,4548,61367,13,2241250,0,0,0,354941,251,30231,125,1447,30,,,,,,
2012-Q3,,,,,,,,,,,40439,3393,49887,53,0,0,0,0,14801,71,7396,25,1074,0,,,,,,
2012-Q2,,,,,,,,,,,36498,2747,243679,220,0,0,0,0,16846,160,32536,141,594,0,,,,,,
2012-Q1,,,,,,,,,,,27430,1927,5031977,199,0,0,0,0,3960,65,9146,139,594,0,,,,,,
2011,,,,,,,,,,,,,9062562,,,,0,,40388,,,,,,,3505302,45436,0,1843739,1650606
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,8169313,,,,0,,3689,,,,,,,3510027,23342,0,2970361,859710
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
