Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,169684264.5,171095796,0.2057,3891192.915,18457245,,,,,,,,,,,,,,,,,,,,,3706722,,,,
2015-Q4,42421066.13,42773949,0.205688442,949110.4923,4614311.25,,,,,,,,,,,,,,,,,,,,,926680.5,,,,
2015-Q3,42798907.38,43003681,0.189398615,1173725.951,5865525.75,,,,,,,,,,,,,,,,,,,,,3728771.5,,,,
2015-Q2,42992227,44272443,0.202831803,636189.1115,3109499,,,,,,,,,,,,,,,,,,,,,1680533,,,,
2015-Q1,41472064,41045723,0.225879605,1132167.36,4867909,,,,,,,,,,,,,,,,,,,,,-2629263,,,,
2014,145802744,145949107,0.1656,6904828,41695821,6278,-2275169,0,128328093,1648,47149,4171,10628519,1777,1729120,0,0,0,30012,358,674,110,2039,25,-5173060,-4198023,35037,1040,1729120,49188
2014-Q4,,36487277,,826901,7646236,,,,33971404,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,36487277,,826901,7646236,,,,33971404,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,36487277,,1186218,5963156,199,1874662,7832187,39380559,409,,,,,,,,,,,,,,,,,,,,
2014-Q1,,36487277,,4064808,20440194,197,814458,4177073,21004727,39,,,,,,,,,,,,,,,,,,,,
2013,152549848,139715487,0.2011,6513829,32390995,1879,2444285,0,,22855,44883,5112,8857730,4016,631578,0,55239,0,59364,681,113894,103,5541,45,4317823,23095962,43081,6212,631578,119435
2013-Q4,,34928872,,1628457,8097749,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,34928872,,1628457,8097749,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,34928872,,1628457,8097749,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,34928872,,1628457,8097749,,,,,,,,,,,,,,,,,,,,,,,,,
2012,106346934,167601235,0.1611,2129881,13220863,1956,-12923439,0,,20842,183012,6092,10286972,901,1450277,0,0,0,65239,557,143082,925,8486,219,-7679906,20227922,24420,3878,1450277,37477
2012-Q4,,41900309,,532470,3305216,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,41900309,,532470,3305216,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,41900309,,532470,3305216,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,41900309,,532470,3305216,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,170403505,,3389795,,,,,,,,,11784302,,,,0,,48221,,,,,,,5212518,63450,0,2853059,410616
2011-Q4,,42600876,,847449,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,42600876,,847449,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,42600876,,847449,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,42600876,,847449,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,167533892,,3399074,,,,,,,,,10613363,,,,0,,11490,,,,,,,3679174,24320,0,3050439,360867
2010-Q4,,41883473,,849769,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,41883473,,849769,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,41883473,,849769,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,41883473,,849769,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,165830866,,3344304,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,41457717,,836076,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,41457717,,836076,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,41457717,,836076,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,41457717,,836076,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,182394224,,2619686,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,45598556,,654922,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,45598556,,654922,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,45598556,,654922,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,45598556,,654922,,,,,,,,,,,,,,,,,,,,,,,,,,
