Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,208985733,209914827,0.2477,1737243,7018218,,,,,,,,,,,,,,,,,,,,,5875010,,,,
2015-Q4,52246433.25,52478706.75,0.247743234,434679.0054,1754554.5,,,,,,,,,,,,,,,,,,,,,1468752.375,,,,
2015-Q3,52756738.75,53087255.25,0.246060375,463112.2964,1901717.5,,,,,,,,,,,,,,,,,,,,,1312787.125,,,,
2015-Q2,52830406,54613132,0.244743495,280244.9106,1144995,,,,,,,,,,,,,,,,,,,,,2800590,,,,
2015-Q1,51152155,49735733,0.252534985,559206.6195,2216951,,,,,,,,,,,,,,,,,,,,,292880,,,,
2014,195605325,194424042,0.1981,2679172,13524341,3655,-538604,0,74142412,1052,183459,12902,14341984,842,2476932,0,160137,0,2257,0,7100,571,1020,16,-649199,5883367,52888,15180,2476932,184479
2014-Q4,,48606011,,561919,3346423,,,,16661185,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,48606011,,561919,3346423,,,,16661185,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,48606011,,256258,1223254,256,1557444,5243410,23335268,446,,,,,,,,,,,,,,,,,,,,
2014-Q1,,48606011,,1299076,5608241,199,1343779,4050816,17484775,47,,,,,,,,,,,,,,,,,,,,
2013,204535426,195918486,0.2431,2105511,8661090,1717,1889318,0,,15551,210436,10720,13156989,826,1779599,0,266400,0,5795,100,20645,433,150584,3,9558015,9753110,51124,3461,1779599,171981
2013-Q4,,48979622,,526378,2165273,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,48979622,,526378,2165273,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,48979622,,526378,2165273,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,48979622,,526378,2165273,,,,,,,,,,,,,,,,,,,,,,,,,
2012,159585710,204675300,0.2227,2009628,9023925,1870,13618916,0,,16869,588730,14682,6265775,398,7139477,20,0,0,47758,1,13612,95,8949,82,-3139919,2693375,0,4575,7139477,22561
2012-Q4,,51168825,,502407,2255981,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,51168825,,502407,2255981,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,51168825,,502407,2255981,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,51168825,,502407,2255981,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,197671170,,1459674,,,,,,,,,16411646,,,,0,,7752,,,,,,,1799840,61113,0,933127,3188833
2011-Q4,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,49417793,,364919,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,189783508,,1527313,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,47445877,,381828,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,192549785,,1487625,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,48137446,,371906,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,182459445,,1698480,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,45614861,,424620,,,,,,,,,,,,,,,,,,,,,,,,,,
