Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016-Q3,,,,155329,651547,,1691664,9006195,27372833,2955,3803,1,0,0,0,0,0,0,0,0,0,0,0,0,2290176,3889332,,0,3803,0
2016-Q2,53182497,,0,549889,2542253,,2564664,5865176,27115932,2903,39322,2285,4104775,579,0,0,0,0,240,0,3085,31,0,0,-387843,3533562,,604,39322,3085
2016-Q1,55836166,,0,394312,1698156,,2293080,6281643,27052727,3180,43713,2637,3976208,493,0,0,0,0,240,0,18,0,0,0,1906714,2240670,13423,3234,43713,18
2015,230928420,203357194,0.2429,2611648,10750603,3100,8486180,25790016,106175444,12496,203793,11016,16995211,838,717035,1616,0,0,4600,0,3510,228,157305,8,11566651,6774343,60377,10605,1166049,176391
2015-Q4,"73,515,852","50,948,369",0.3580,1206384,"4,966,589",1940,1859359,5876318,24192334,2948,48874,2261,4248803,221,179259,404,0,0,1000,0,1094,125,39326,0,2105101,3153152,17675,9760,1049544,158301
2015-Q3,"53,430,006",50591444,0.2493,499634,2056953,532,2125876,6633134,27308084,3180,45641,2933,4281325,110,179259,404,0,0,0,0,1440,43,39326,0,5141079,1130915,15549,220,45641,1440
2015-Q2,"52,830,406",53310151,0.2518,278119,1144995,373,2272037,6531143,26888195,3219,70575,3131,4221536,177,179259,404,0,0,0,0,257,19,39326,0,2308662,2800590,6951,315,64138,257
2015-Q1,"51,152,156",48507230,0.2477,538498,2216955,514,2225786,6749421,27786831,3149,38703,2691,4243547,330,179259,404,0,0,3600,0,719,41,39326,8,2011809,292880,14101,130,38703,817
2014,195605325,194424042,0.1981,2679172,13524341,3655,-538604,0,74142412,1052,183459,12902,14341984,842,2476932,0,160137,0,2257,0,7100,571,1020,16,-649199,5883367,52888,15180,2660391,184479
2014-Q4,,48606011,,561919,3346423,,,,16661185,,49453,3914,68370,143,619233,0,17137,0,75,0,2514,311,0,0,-162300,1470842,13992,13332,3873565,2514
2014-Q3,,48606011,,561919,3346423,,,,16661185,,44811,3177,86019,344,619233,0,29000,0,1884,0,2667,40,248,16,-162300,1470842,16106,107,44811,2915
2014-Q2,,48606011,,256258,1223254,256,1557444,5243410,23335268,446,41061,2727,50192,153,619233,0,57000,0,0,0,2083,115,256,0,-162300,1470842,11140,1130,41061,2339
2014-Q1,,48606011,,1299076,5608241,199,1343779,4050816,17484775,47,46626,2962,79402,180,619233,0,57000,0,298,0,1984,249,516,0,-162300,1470842,11650,611,46626,2500
2013,204535426,195918486,0.2431,2105511,8661090,1717,1889318,0,,15551,208175,10720,8256632,826,2579680,0,266400,0,5795,100,21397,433,150584,3,14259313,9753110,51124,3461,1987774,171981
