Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,378896207,390716667,0.1837,5001498,26593077,,,,,,,,,,,,,,,,,,,,,16538958,,,,
2015-Q4,93677693,92547765,0.183563262,1157828.168,6461685,,,,,,,,,,,,,,,,,,,,,4920902,,,,
2015-Q3,96513715,100846077,0.196702071,1577800.576,7453210,,,,,,,,,,,,,,,,,,,,,-2323818,,,,
2015-Q2,93980746.88,99643658.25,0.170850341,1043969.11,6029912.75,1016,7326387,15239245,85118131,4716,,,,,,,,,,,,,,,,9807134.5,,,,
2015-Q1,94724051.63,97679166.75,0.18379223,1221900.231,6648269.25,972,7466648,14282716,78913709,6531,,,,,,,,,,,,,,,,4134739.5,,,,
2014,374405501,375961090,0.1803,9391559,52089354,7923,24887243,56314568,312343184,55469,664404,13952,1140849,847,0,0,205572,0,130854,1965,0,0,41864,175,9333836,16243127,234619,1324,0,41864
2014-Q4,,93990273,0.1734,1091370,6293552,1081,8287610,14896303,83820354,13556,,,,,0,,,,,,,,,,,,,,,
2014-Q3,,93990273,0.1759,1258595,7153938,1204,7341011,16844555,93670696,15030,,,,,0,,,,,,,,,,,,,,,
2014-Q2,,93990273,0.1815,1964582,10821835,1449,7390516,12469994,68528534,14326,,,,,0,,,,,,,,,,,,,,,
2014-Q1,,93990273,0.1825,5077012,27820029,4189,5916467,12103716,66323600,12557,,,,,0,,,,,,,,,,,,,,,
2013,384275736,385405944,0.1896,12438028,65594028,2240,20351396,46678586,246167357,46221,727206,11153,1798389,1123,0,0,440839,0,238708,4971,1214,65,37321,145,19372630,28910457,295362,4529,0,38535
2013-Q4,,96351486,0.1860,3990265,21450348,602,4130599,11440519,62031274,11665,,,,,0,,,,,,,,,,,,,,,
2013-Q3,,96351486,0.1841,3621423,19671928,872,4252728,11312640,62823218,11565,,,,,0,,,,,,,,,,,,,,,
2013-Q2,,96351486,0.1964,2896219,14750177,390,6112159,12055009,61524292,11708,,,,,0,,,,,,,,,,,,,,,
2013-Q1,,96351486,0.1985,1930121,9721575,376,5855910,11870418,59788573,11283,,,,,0,,,,,,,,,,,,,,,
