Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,278015946,308654696,0.2268,8396735,36679799,,,,,,,,,,,,,,,,,,,,,6382716,,,,
2015-Q4,69503986.5,77163673.88,0.226788008,2079634.613,9169949.625,,,,,,,,,,,,,,,,,,,,,1595679,,,,
2015-Q3,70483881.5,76683901.63,0.234811304,3169704.786,13405212.88,,,,,,,,,,,,,,,,,,,,,-965613,,,,
2015-Q2,69869120,79839880,0.223135033,1656479.319,7420639,,,,,,,,,,,,,,,,,,,,,2303010,,,,
2015-Q1,68158958,74967240,0.222203003,1490916.31,6683997,,,,,,,,,,,,,,,,,,,,,3449640,,,,
2014,266480354,289636158,0.1947,9986424,51412650,10236,-31546003,61620280,316514194,52901,532461,6605,7221024,2,0,0,0,0,120440,9939,725,60,8799,65,-9391176,2522045,156077,3704,0,9524
2014-Q4,,72409040,,1344499,7918657,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,72409040,,1344499,7918657,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,72409040,,1489572,7967948,,-5585672,20585299,102162515,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,72409040,,5807855,27607389,,-7182394,14869946,70683645,,,,,,,,,,,,,,,,,,,,,
2013,277492145,274119296,0.2245,8045717,35836117,3636,-28291672,72495004,322897212,67606,2159723,4623,5746009,2846,-2563443,0,0,0,340462,13075,0,0,16479,83,-1536286,30853251,54051,13827,-2563443,16479
2013-Q4,,68529824,,2011429,8959029,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,68529824,,2011429,8959029,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,68529824,,2011429,8959029,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,68529824,,2011429,8959029,,,,,,,,,,,,,,,,,,,,,,,,,
2012,223487275,305170051,0.2114,7388701,34957293,6187,-43220982,78184814,369906643,82722,182687,6842,5714390,70,3839206,0,0,0,260834,14730,0,0,10402,0,-16985647,17756603,61036,9430,3839206,10402
2012-Q4,,76292513,,1847175,8739323,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,76292513,,1847175,8739323,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,76292513,,1847175,8739323,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,76292513,,1847175,8739323,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,310021201,,5914857,,,,,,,,,3339986,,,,0,,205500,,,,,,,7390534,83369,0,2602430,2425945
2011-Q4,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,310219204,,5750506,,,,,,,,,5673329,,,,0,,3380,,,,,,,8294373,84519,0,2371521,925120
2010-Q4,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,301613796,,3052600,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,283267620,,3667419,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,70816905,,916855,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,70816905,,916855,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,70816905,,916855,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,70816905,,916855,,,,,,,,,,,,,,,,,,,,,,,,,,
