Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2014,118880612,110166472,0.1769,2936744,16600934,4043,1938397,19722551,114053621,21162,255324,6507,64023,0,0,0,0,0,42109,305,0,0,82581,459,11853673,5479811,4934,15430,0,82581
2014-Q4,,,,35787,673473,778,2263426,5787788,37545971,6008,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,0.1741,492385,2827651,567,29744,5408129,30132757,5810,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,0.1823,801234,4394758,705,1102923,4186259,22868211,5034,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,0.1846,1607338,8705052,1993,961597,4340375,23506682,4310,,,,,,,,,,,,,,,,,,,,
2013,127989636,122093318,0.1929,3910261,20270009,1683,2483581,17970769,93156568,18441,233099,8197,130919,66,0,0,75240,0,4370,141,0,0,40845,138,12602668,7886994,4929,10183,0,40845
2013-Q4,,,0.1954,587846,3008754,385,-1202494,4696881,24193788,4348,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,0.1816,1337538,7366011,505,714149,3886811,22165201,4718,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,0.2035,1031966,5072037,483,2165498,4750808,23330874,4760,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,0.1976,952911,4823207,310,806428,4636269,23466705,4615,,,,,,,,,,,,,,,,,,,,
2012,118756942,140609692,0.1852,3598118,19427785,1270,2160239,17261470,93202107,19476,199573,7209,219797,1,213632,0,0,0,15024,819,5297,0,47661,0,11081796,13596898,2484,5692,213632,52958
2012-Q4,,,0.1774,680069,3832831,313,362941,4001268,22335491,4800,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,0.1864,915579,4911452,402,451434,4313494,23134486,4702,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,0.1981,748394,3777676,252,629606,4680320,24238391,4853,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,0.1816,1254076,6905826,303,716258,4266388,23493739,5121,,,,,,,,,,,,,,,,,,,,
2011,,158342179,,3093960,15978451,1866,2692679,17650973,91156694,19056,,,150087,,,,0,,28763,,,,,,,3545246,1869,272,149358,76754
2011-Q4,,,,443912,2192797,453,664742,4278875,22109482,4645,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,539038,2739768,461,802812,4587962,23319228,4769,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,668200,3426870,443,679844,4325610,22183938,4641,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,1442810,7619016,509,545281,4458526,23544046,5001,,,,,,,,,,,,,,,,,,,,
2010,,147075737,,3297185,15682126,2336,2384932,15582579,74114120,18333,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,1444225,6969953,661,764561,3738630,18834740,4626,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,752010,3712692,578,441818,3781196,18667851,4721,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,794980,3610321,596,624585,4263323,19361443,4491,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,305970,1389160,501,553968,3799430,17250086,4495,,,,,,,,,,,,,,,,,,,,
2009,,141620934,,2657530,12521391,2731,1329632,0,0,0,,,,,,,,,,,,,,,8039931,3658876,,,,
2009-Q4,,,,-35142,2043001,709,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,0.2600,866664,3333322,613,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,0.2500,792747,3170987,760,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,0.2600,1033261,3974081,649,,,,,,,,,,,,,,,,,,,,,,,,
2008,,135582958,,2252338,9171553,4653,0,0,0,0,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,0.2700,628130,2326407,2042,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,0.2500,614109,2456436,1061,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,0.2500,597354,2389418,828,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,0.2600,519816,1999292,722,,,,,,,,,,,,,,,,,,,,,,,,
