Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Charity Care - Amount,Charity Care - Billings,Charity Care - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2015,2472221279,2522578181,0.2369,37481412,175481451,,,,,,,,,,,,,,,,,,,,,96468192,,,,
2015-Q4,618055320,630644545,3,9219066,43870363,,,,,,,,,,,,,,,,,,,,,24117048,,,,
2015-Q3,617283754,629949535,3,10150639,47366591,,,,,,,,,,,,,,,,,,,,,36374901,,,,
2015-Q2,625530371,643871318,4,8865615,40616430,3098,17198426,34636196,195650761,27724,95442,385,2943,1,,,,,16342,1717,,,10473,,739646,16550710,2321,,95442,10473
2015-Q1,611351834,618112782,3,9246092,43628067,3176,14851471,39994943,228399519,29276,163083,3746,1198145,901,26534,,,,34110,1030,,,20080,,1227918,19425533,290,,92640,20080
2014,2658014805,2438070268,0.1804,65189601,345515491,46752,51533024,238959690,1443417149,246105,3894713,170714,46203463,9214,11071810,214,680143,,1110305,28965,297375,9673,1384275,12299,19701955,80178915,1503314,340525,10243782,2044240
2014-Q4,,609517567,,8616546,49929573,5198,19393952,44505600,255968898,43510,376403,19857,2305776,982,2661760,,217611,,69882,1013,64033,994,173399,2529,3285472,3200348,121397,116474,722131,233185
2014-Q3,,609517567,,9539078,58309982,3405,11744035,47653052,265584825,62705,479741,15156,580515,490,,,15239,,117565,1868,63327,3134,103132,2481,-628642,6210789,110804,28503,340015,160326
2014-Q2,29988500,609517567,,12820837,67730081,6624,17923917,84406090,415348398,45983,389890,18087,912833,2216,,,30223,,214437,4296,81898,1751,111208,3508,-1138373,6987679,125131,27746,266878,181740
2014-Q1,29195977,609517567,,34213502,169545855,11921,15629660,64858780,311193710,39256,327733,16075,923778,865,,,51361,,175502,1660,64508,2372,118223,3005,1477022,5397235,104785,22164,227364,169583
2013,2778046494,2406841966,0.2023,65225531,317601121,23977,73809297,227715628,1162653672,328776,5460060,97572,39420712,16071,3069269,389,1277905,204,3168960,31627,346453,19309,1799913,10676,84434576,208519621,1939474,316842,3069269,2146532
2013-Q4,,602154783,,18241882,88648121,4834,13594091,33935875,143572464,37719,332836,9761,7462093,1201,2166404,,363534,,1895475,5191,51287,6640,265314,2839,2426828,9229995,140411,151486,4587594,292011
2013-Q3,,602154783,,17505379,86159231,3825,14890245,32307470,139901318,38543,393527,11071,528794,2925,,,,,127241,588,65777,4819,223861,2674,1466240,11619336,198257,42036,373980,282383
2013-Q2,33890601,602154783,,15917027,77073896,3115,19719585,34452882,134823103,38165,393735,11382,874956,1128,,,13909,88,146469,724,34873,3694,277339,2347,7073172,4077467,195796,32774,365139,298896
2013-Q1,47768578,600377617,,13561244,65728696,2320,18879064,35196106,156279630,39098,357131,14227,640175,533,,,17220,116,155348,781,27782,2883,248429,2256,5122097,13281564,250389,28803,333565,266456
2012,1877301860,2320094042,0.1977,50222950,256648425,24178,20234514,238431392,1247695445,336136,3675032,125848,33820278,5591,23929781,20,320932,1603,2481544,44297,713836,19875,1629210,9183,12861721,198414518,670011,319949,23929781,1560333
2012-Q4,28639934,592599131,,13786388,70621275,2154,6864746,33877848,162153931,36528,692733,18143,1644710,787,3190752,,50106,454,1162767,14550,296035,9679,388894,2214,1742915,12004874,5444,150465,4432244,405591
2012-Q3,31927745,583167300,,12560492,63936467,2221,10923227,34310982,152328441,36183,449985,12113,816698,438,,,52933,457,201649,3305,77176,3693,232019,1924,4315053,20577339,,42995,404381,286184
2012-Q2,32008176,578010876,,11186453,57916257,1848,10743167,34028224,152099871,37505,411469,14398,1422655,1284,273,,64153,414,74534,3005,75248,3068,215089,2330,6467815,16161558,,39079,372326,245957
2012-Q1,78265973,566316737,,12689617,64167974,2291,10477586,34337063,153733135,40128,362163,17862,5668550,624,2468,,67691,278,95938,2438,46583,2415,213075,2414,6727249,20194391,,30172,346508,254796
2011,270546983,2310485725,,52088986,147228590,13643,40468079,136510013,546851364,149210,2000687,62220,46366086,3751,1374764,5,199350,701,1494720,27348,479227,19326,1105128,25386,19266915,86078744,1383404,311598,18820153,10307901
