Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,922080138,926830231,,19289949,115577611,,27733401,1007524582,166719800,86083649,80636151,84568,501112,28182,24825513,2516,13380,49,246232,108,336531,2949,259318,475,664891,313,21977197,11937807,2923060,468568,2297,502386,924039,
2018-Q4,461927370,465437546,,10759522,65175510,,13866701,503762291,83359900,43041824,40318076,42284,244178,14266,12407702,1519,6374,19,125686,68,113473,1776,149668,362,446939,176,10988598,-19834894,-3209963,227547,1258,238446,596437,
2018-Q3,460152768,461392686,,8530427,50402102,,13866701,503762291,83359900,43041824,40318076,42284,256934,13916,12417811,997,7006,30,120546,40,223058,1173,109650,113,217952,137,10988598,31772702,6133023,241021,1039,263940,327602,
2018-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2109246868,2121696021,0.1698,39010014,225373240,38422,98743506,2159499687,365526686,173272386,192254300,148446,2180962,108809,65245373,8654,4294059,3123,576125,130,966333,20693,967954,8223,1401031,11584,148618410,30539990,9353934,1034254,21173,7413730,2365985,
2017-Q4,529559313,526974812,0.1699,8922409,52488708,1866,22305832,508625758,86010612,41789537,44221075,51680,508804,41673,17351533,2213,1073515,781,125726,25,298714,7477,207815,2194,333703,2704,39068071,2069137,1306664,281655,,101150,127866,
2017-Q3,524762989,515894303,0.1724,7526068,42959261,6712,23814860,539630924,91329939,42878872,48451067,52855,474977,18317,16397196,1261,1073515,781,125726,25,164503,4912,213130,2447,262513,2238,36942067,24139385,5576830,277733,,191367,140641,
2017-Q2,531333893,537603866,0.1735,10245174,59646289,13644,26960360,555510443,94011231,44016865,49994366,53672,528225,25947,16092099,2250,1073515,781,191745,40,183184,5176,262171,1917,288940,3385,37013992,-49113,883936,254586,,232014,153152,
2017-Q1,523590673,541223039,0.1743,12316363,70278982,16200,25815809,555732561,94174904,44587113,49587791,56932,511085,22872,14896770,2930,1073515,781,132928,40,214430,3128,211322,1665,291486,3257,36002938,4380581,1586504,220280,,215396,270341,
2016,2080150130,2085868482,0.1792,42794040,234355715,33070,45211553,1930812385,346515842,201226996,145288846,150242,2373262,109242,63699145,11148,2893847,1098,771549,265,755404,15970,1245123,9298,1569720,11571,44552075,36593612,15402872,1378522,259022,3371305,2813457,
2016-Q4,536771549,552006974,0.1827,15210220,84443456,9126,3309243,491737815,88131365,50944450,37186915,53732,808765,39986,17223299,3884,723462,275,292100,131,306083,3731,203306,4290,637038,2858,11521784,-34516337,-4362597,332350,144708,3314416,840404,
2016-Q3,513381974,527582983,0.1786,9404546,51885398,8254,882691,478419877,85970817,50160942,35809875,55006,483806,20136,14920402,2011,723462,275,168639,41,139351,2980,725291,1077,280291,2813,11832586,19943866,5771036,364778,34370,728637,1004645,
2016-Q2,503886152,502936617,0.1726,10144234,55352547,7653,19511826,465744951,83786816,48803448,34983368,54850,404741,19815,17426353,2760,723462,275,192197,57,175063,5628,199518,1592,282915,2687,10681938,27806718,7287625,193844,43572,649480,482548,
2016-Q1,526110455,503341908,0.1828,8035052,42674315,8037,21557724,494909742,88626844,51318156,37308688,60198,629714,29305,14177541,2493,723462,275,118613,36,166479,3631,116716,2339,369219,3213,10515760,23359367,6707244,355729,36411,1190647,485663,
2015,2109842935,1995716330,0.1911,47009228,242740313,47599,84923155,2001814323,398523536,197169293,171550110,240160,2727304,54833,63426585,7884,5150993,9081,389691,0,1117967,47561,356540,6121,1244996,602,82192862,137128761,32564766,1490829,287757,8934782,1613064,
2015-Q4,593347155,457665445,,19701692,103411317,23489,22938104,498924598,99199645,48943122,42805490,59048,830518,10960,17356407,2765,1287748,2982,2270,0,282486,36985,158858,1439,301014,172,16379475,81604946,17600815,207883,86362,7342687,534125,
2015-Q3,504202116,504448634,,9906835,49904658,7444,20045759,512042098,101937466,50689975,43796458,60571,398253,9189,14875876,1393,1287748,2033,2270,0,250268,3505,128564,977,231985,141,31540935,32050639,6991464,225776,64395,462337,332787,
2015-Q2,512503866,528818472,,7847212,40078603,8762,22848231,499291647,99394727,48931040,43012654,60566,610063,17575,15093135,1743,1287748,2033,2270,0,175992,3208,22725,3664,328193,91,17777158,19113507,5396552,294523,64494,636735,375212,
2015-Q1,499580816,504783779,,8554288,43494130,9721,19071474,491555982,97991697,48605156,41935508,59975,657482,17109,16085155,1983,1287748,2033,2270,0,397589,3863,46324,41,345740,198,16495285,21988331,5841725,362126,72340,706489,359411,
2014,2656874200,2438624830,0.1804,65213582,346279453,46752,51678757,1526014033,262808424,,,246132,3896918,170714,46203463,9214,10707950,214,680143,0,1110305,28965,297375,9673,1384275,12299,19885891,80178915,10001967,1503314,340525,14504560,2044240,
2014-Q4,33102077,610524513,,8640502,50360319,9852,23889147,282898776,45279595,,,43510,759211,42400,16758495,2079,2676988,54,261990,0,134359,34670,67897,1500,376060,2588,6168412,16725674,1916892,340864,157620,6884632,486673,
2014-Q3,32784019,609292822,,10036764,58643198,8486,16239230,291063147,48427047,,,62705,858838,37013,7170088,1787,2676988,54,103682,0,199536,4333,67344,3369,298045,2556,2254298,19736115,2452410,335451,56086,1852681,406219,
2014-Q2,33316684,610658869,,12826576,67730081,9714,22975941,415348398,84406090,,,46010,770586,39840,7515694,3315,2676988,54,146666,0,285076,6763,85981,2061,303863,3567,1744567,20513005,2548315,339008,56583,1781113,425441,
2014-Q1,32215962,608148627,,33934800,169545855,14804,20681684,311193710,64858780,,,39256,716816,38227,7504616,2023,2676988,54,167804,0,243378,4154,67842,2816,314927,3064,4359962,18922561,2250428,326982,50919,1750016,416584,
2013,2778046494,2406841966,0.2023,65225531,318671909,23977,73809297,1340549060,267994326,,,328776,4626479,97572,30310905,16071,17788925,389,1277905,204,3168960,31627,349838,19309,1807882,10676,130511322,208519621,35873449,1939474,316842,10259191,2146532,
2013-Q4,37288477,603895981,,18198747,88351349,6401,22536973,203479798,43225920,,,64816,707812,19827,17166003,3013,4447231,97,732785,0,2067148,39197,86466,7129,443774,2923,27092058,42043098,6689047,437994,160318,10470894,515412,
2013-Q3,32420917,600203026,,17598643,87526790,5392,23833127,204149810,41597515,,,65640,783634,20648,2319265,4812,4447231,97,131076,0,233676,3326,103904,5157,406595,2758,26131470,44432170,7229196,430966,50521,1251827,513006,
2013-Q2,33890601,602450509,,15902734,76988730,4682,28662467,199071595,43742927,,,65262,814513,20660,2677510,2902,4447231,97,167747,88,248660,3462,66681,3933,459030,2431,31738402,36890299,5843939,417451,42051,1268368,522157,
2013-Q1,47768578,600292450,,13532286,65813863,3868,27068402,197781066,43217159,,,65451,761278,23616,2525563,2416,4447231,97,171058,116,273321,3623,64508,3102,433192,2343,28848680,46414080,7663370,478032,38770,1220956,497707,
2012,1877301860,2320094042,0.1977,50222950,256648425,24178,20234514,1318465918,262041018,,,336136,3675032,125848,33820278,5591,23929781,20,320932,1603,2481544,44297,713836,19875,1629210,9183,12861721,198414518,38055465,670011,319949,23929781,1560333,
2012-Q4,28639934,592599131,,13786388,70621275,4523,12976439,202690914,45703370,,,62296,1170078,37401,10876162,1575,5982445,5,80631,454,1504913,47114,361613,9940,517676,2303,1621050,36535588,6974049,185216,161057,18918646,498475,
2012-Q3,31927745,583167300,,12560492,63936467,4590,17034920,192865424,46136504,,,61951,711845,21420,3838789,920,5982445,0,83458,457,312096,4667,131237,3972,361148,1979,4193188,45108053,8577643,143685,55237,1271039,368152,
2012-Q2,32008176,578010876,,11186453,57916257,4217,16854860,210054510,45853746,,,63273,827479,25783,4462522,1798,5982445,5,76652,414,142776,4366,123007,3314,343836,2385,6345950,40692272,7750581,139342,53120,1884226,318178,
2012-Q1,78265973,566316737,,12689617,64167974,4660,16589279,211687774,46162585,,,65896,545084,27182,8709868,1231,5982445,0,80190,278,244653,3799,97633,2696,342229,2469,6605384,44725105,8481301,199284,43360,1638066,331225,
2011,415549780,2297780517,,52260977,147228590,13643,40468079,546851364,136510013,,,149210,2266266,66837,46366086,3942,2091608,5,199350,701,1494720,28723,523735,19326,1170819,25386,19266915,88418682,10211092,1383404,311598,18820153,10307901,
2011-Q4,99423567,567601963,,12441775,34752861,3781,11730757,136783700,33376110,,,35764,913817,26038,11589624,1291,522144,0,80263,134,830962,9781,244858,4476,390914,17882,3526262,30997716,5802346,177711,22510,733326,638819,
2011-Q3,88414938,569219640,,13352917,37198419,3313,10379455,139264976,34656041,,,37578,413245,13489,10446666,618,523496,0,60520,179,262403,6072,106628,5779,252791,2372,5909010,8171128,1569919,171841,22510,513799,406973,
2011-Q2,112205442,578967441,,12930561,36875728,3416,7970094,134190425,33737803,,,37224,933841,27627,10867479,1254,521919,0,49775,208,290952,9890,151933,5272,293904,2644,5190753,10212701,1921688,165324,22510,1031806,476203,
2011-Q1,115505833,586852390,,13535725,38401582,3133,10387773,136612263,34740059,,,38644,335654,12716,10169166,1123,524050,5,8791,0,101425,2980,20316,3799,276487,2488,4640889,9679035,1893019,166385,22510,6933457,345544,
2010,449174036,2313098936,,51684524,144972717,21210,38757239,539049875,140517000,,,152860,2197075,62893,29361515,5853,5884073,3045,,,644607,17586,352426,18452,1198696,,23019355,33699127,1874782,1193469,234571,19470757,4541061,
2010-Q4,70701759,572998696,,19978486,68387966,5976,9209024,128937490,33097137,,,35246,349800,11425,5954821,1374,470416,,,,170374,3550,95072,3844,374061,,5754839,2717240,468695,55925,,5250921,460288,
2010-Q3,73610704,578812063,,11330310,29848209,4909,12805864,151710493,38221149,,,37304,612760,19391,5540704,1209,1356225,,,,155804,3407,144857,4535,272176,,5754839,2717240,468695,51477,222,2419099,462858,
2010-Q2,73230138,580956720,,11249243,27360789,5618,7529217,130088942,34446662,,,41213,776703,18221,6528252,1808,2172546,3045,,,101408,9126,87372,6717,279581,,5754839,2717240,468695,56661,,2784320,341317,
2010-Q1,72723582,580331455,,9126484,19375753,4707,9213135,128312950,34752052,,,39097,457812,13856,5707730,1462,467006,,,,89591,1503,25125,3356,272878,,5754839,2717240,468695,56217,,3241890,273613,
2009,138305967,2314204253,,39234423,110027325,24665,29910413,431119278,125120355,,,145731,2459757,57848,4382737,3524,3551966,2015,,,319083,9704,558773,23411,1193008,11486,52243823,28360543,7934980,448483,278244,4330545,1570165,
2009-Q4,21118931,581663595,,4418494,22885193,6348,-2355719,111807419,20439609,,,37100,714966,16158,1457014,832,428697,,,,118728,2276,146204,4133,399500,11436,5683342,3147173,476974,28118,,723846,307901,
2009-Q3,40430251,579561756,,10507912,25534301,5754,11983563,114232504,37696046,,,36341,456636,14369,877257,761,428697,,,,81353,1493,101856,5375,246626,,5683342,3147173,476974,48182,,430900,250076,
2009-Q2,66859631,576767564,,11762676,35972781,6040,7968530,107380916,34595291,,,37027,922601,15551,1304619,992,2015129,2015,,,56482,2265,165246,9460,285909,25,5683342,3147173,476974,60007,,436488,244516,
2009-Q1,38760824,576211340,,12545342,31355172,6523,10984407,97698439,32389409,,,35263,365554,11770,743847,939,428697,,,,62520,3670,35464,4443,260973,25,5683342,3147173,476974,2102,,2053532,236928,
2008,143619221,2267587614,,43115938,73530539,24823,48081900,238643019,132740834,,,128037,476002,35948,955377,1640,949392,,,,338755,15849,12891,12567,964454,13962,4439104,4173278,1087556,102799,,1649396,977345,
2008-Q4,35904805,566896904,,12401518,19512279,11946,17751445,58651689,42093310,,,39146,186173,6939,483177,431,670022,,,,112411,8072,953,2395,316718,13962,1109776,1043320,271889,23936,,1148970,317671,
2008-Q3,35904805,566896904,,10990060,16421385,6626,9474022,59857168,31058684,,,28736,177778,6881,157812,173,93124,,,,48773,2636,6879,3160,237965,,1109776,1043320,271889,53129,408,177778,244844,
2008-Q2,35904805,566896904,,9499282,17571812,3343,8395149,61416167,29108552,,,29819,172841,11858,212620,173,93124,,,,78164,2251,2284,4083,221586,,1109776,1043320,271889,24453,,172841,223870,
2008-Q1,35904805,566896904,,10254149,20025063,2908,12461284,58717994,30480288,,,30336,128262,10270,101770,864,93124,,,,99407,2890,2775,2929,188185,,1109776,1043320,271889,30437,,149807,190960,
