Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017,,,0.5791,967822,1671251,,22285892,,,,,,121704,12762,432960,1734,844005,0,0,0,17623,5390,16442,942,35451,204,0,4890601,2832196,6944,0,122540,51893
2017-Q4,,,,206410,356433,,5686616,,,,,,28613,1938,129926,338,176529,0,0,0,2723,957,2305,311,689,80,0,1491071,863479,2131,0,29449,2994
2017-Q3,,,,189273,326839,,5665723,,,,,,34569,2201,190407,339,264965,0,0,0,3429,1588,1554,23,4200,7,0,1977674,1145271,1510,0,34569,5754
2017-Q2,,,,206433,356473,,5589019,,,,,,32423,6355,46706,334,194669,0,0,0,6966,1971,5619,249,18137,117,0,646103,374158,2075,0,32423,23756
2017-Q1,,,,365705,631506,,5344534,,,,,,26099,2268,65921,723,207842,0,0,0,4505,874,6964,359,12425,0,0,775754,449239,1228,0,26099,19389
2016,,,0.5791,924321,1596106,,19158141,,,,,,47270,3975,27723,283,967669,40,0,0,16387,5333,12542,1313,15360,356,0,8699100,5037736,13191,12556,1014939,27902
2016-Q4,,,,200593,346381,,4789535,,,,,,13310,566,1756,104,241917,10,0,0,2162,634,1436,662,647,75,0,2212487,1281273,0,627,258141,2083
2016-Q3,,,,185660,320596,,4789535,,,,,,5428,1127,8104,56,241917,10,0,0,3261,1024,1568,59,1377,220,0,2281723,1321369,0,2384,250259,2945
2016-Q2,,,,243187,419932,,4789535,,,,,,16879,1157,9381,7,241917,10,0,0,5680,1902,4119,75,12049,61,0,2738994,1586179,0,8877,261710,16168
2016-Q1,,,,294881,509197,,4789535,,,,,,11653,1125,8482,116,241917,10,0,0,5284,1773,5419,517,1287,0,0,1465897,848916,582,668,244831,6706
2015,,,0.5791,1251449,2160987,,18226533,,,,,,241595,2376,26008,574,631769,0,0,0,48383,7645,9815,660,9738,101,0,6129001,3549304,1412,21326,872586,19553
2015-Q4,,,,165153,72665,,5850149,,,,,,188946,890,7909,168,157942,0,0,0,6901,2648,4407,79,3316,12,0,1185651,686610,747,11624,820715,7723
2015-Q3,,,,343319,527688,,3716986,,,,,,11236,299,2531,52,157942,0,0,0,10502,1290,3472,132,2247,17,0,2075769,1202078,665,194,11236,5719
2015-Q2,,,,372215,613654,,4908276,,,,,,21845,793,5749,129,157942,0,0,0,15834,1333,1225,449,1402,0,0,1601046,927166,,4042,21845,2627
2015-Q1,,,,370762,606725,,3751122,,,,,,19568,394,9819,225,157942,0,0,0,15146,2374,711,0,2773,72,0,1266535,733450,,5466,19568,3484
2014,255115648,251045489,,1904220,,2940,16517910,,,,,5565,222831,2097,19830,792,592798,214,0,0,48837,5741,4725,669,15532,36,0,6599987,,3642,10775,815629,20257
2014-Q4,,62761372,,548715,,,,,,,,,55708,524,4958,198,148200,54,0,0,12209,1435,1181,167,3883,9,0,1649997,,911,2694,203907,5064
2014-Q3,,62761372,,548715,,,,,,,,,55708,524,4958,198,148200,54,0,0,12209,1435,1181,167,3883,9,0,1649997,,911,2694,203907,5064
2014-Q2,,62761372,,447799,,1687,4154256,,,,,2828,55708,524,4958,198,148200,54,0,0,12209,1435,1181,167,3883,9,0,1649997,,911,2694,203907,5064
2014-Q1,,62761372,,358992,,1253,4854242,,,,,2737,55708,524,4958,198,148200,54,0,0,12209,1435,1181,167,3883,9,0,1649997,,911,2694,203907,5064
2013,283704146,268656325,,1610025,,3376,21485953,,,,,11849,88290,2453,31207,1101,440827,389,0,0,61771,5301,4341,646,37081,146,0,5920293,,5449,7653,529117,41422
2013-Q4,,67164081,,595005,,1913,4750790,,,,,2869,22073,613,7802,275,110207,97,0,0,15443,1325,1085,162,9270,37,0,1480073,,1362,1913,132279,10356
2013-Q3,,67164081,,344529,,586,5922706,,,,,3470,22073,613,7802,275,110207,97,0,0,15443,1325,1085,162,9270,37,0,1480073,,1362,1913,132279,10356
2013-Q2,,67164081,,315231,,388,5619965,,,,,2860,22073,613,7802,275,110207,97,0,0,15443,1325,1085,162,9270,37,0,1480073,,1362,1913,132279,10356
2013-Q1,,67164081,,355260,,489,5192492,,,,,2650,22073,613,7802,275,110207,97,0,0,15443,1325,1085,162,9270,37,0,1480073,,1362,1913,132279,10356
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
