Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017,,,0.4511,1793520,3975528,,19877904,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35202405,7510205,3388154,12747,,,
2017-Q4,,,,343759,761978,,4969476,,,,,,,,,,,,,,,,,,,,8800601,1568771,707735,1391,,,
2017-Q3,,,,561058,1243644,,4969476,,,,,,,,,,,,,,,,,,,,8800601,2221363,1002146,3540,,,
2017-Q2,,,,435560,965464,,4969476,,,,,,,,,,,,,,,,,,,,8800601,1919704,866055,4632,,,
2017-Q1,,,,453144,1004441,,4969476,,,,,,,,,,,,,,,,,,,,8800601,1800368,812218,3184,,,
2016,,,0.4511,1487895,3298078,,18524879,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15932585,17628592,7952963,9755,0,0,0
2016-Q4,,,,331629,735092,,4631220,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983146,3285318,1482138,2439,0,0,0
2016-Q3,,,,422032,935480,,4631220,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983146,3683499,1661774,2439,0,0,0
2016-Q2,,,,313351,694577,,4631220,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983146,4051951,1827997,2439,0,0,0
2016-Q1,,,,420882,932930,,4631220,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3983146,6607824,2981054,2439,0,0,0
2015,,,0.4511,919132,2037355,,10004275,74404150,29804133,,,,0,,0,,0,,0,,0,,0,,0,,16257978,15941802,7191347,3661,0,0,0
2015-Q4,,,,162480,360187,,2501069,18601038,7451033,,,,,,,,,,,,,,,,,,4064495,6889083,3107665,,,,
2015-Q3,,,,312602,692977,,2501069,18601038,7451033,,,,,,,,,,,,,,,,,,4064495,803979,362675,,,,
2015-Q2,,,,189167,419347,,2501069,18601038,7451033,,,,,,,,,,,,,,,,,,4064495,3713339,1675087,,,,
2015-Q1,,,,254801,564844,,2501069,18601038,7451033,,,,,,,,,,,,,,,,,,4064495,4535401,2045919,,,,
2014,173997289,92600030,,1737136,,,20960770,,,,,,0,,0,,0,,0,,0,,0,,0,,13479115,18204915,,0,0,0,0
2014-Q4,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,,,3369779,4551229,,,,,
2014-Q3,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,,,3369779,4551229,,,,,
2014-Q2,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,,,3369779,4551229,,,,,
2014-Q1,,23150008,,434284,,,5240193,,,,,,,,,,,,,,,,,,,,3369779,4551229,,,,,
2013,166183033,82045747,,608751,,,16773739,,,,,,0,,0,,0,,0,,0,,0,,0,,30579722,22648981,,0,0,0,0
2013-Q4,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,,,7644931,5662245,,,,,
2013-Q3,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,,,7644931,5662245,,,,,
2013-Q2,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,,,7644931,5662245,,,,,
2013-Q1,,20511437,,152188,,,4193435,,,,,,,,,,,,,,,,,,,,7644931,5662245,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
