Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2017,185136901,191487648,0.1557,6041789,38791796,,-2027161,225755209,35161178,19010163,16151015,15454,347535,14559,238428,1102,717688,35,0,0,19372,0,4860,225,0,0,4965708,1772984,276141,76297,5032,846316,4860,
2017-Q4,48221622,47922893,0.1557,1960391,12586848,,-698533,54871661,8546214,4826318,3719896,5247,168696,7570,146923,203,179422,9,0,0,9418,0,0,0,0,0,1517465,5626,876,17548,,,,
2017-Q3,46740280,47397607,0.1583,1272481,8170069,,-498705,57411856,8941847,4748934,4192913,5185,61592,1601,19764,264,179422,9,0,0,3500,0,1620,75,0,0,1203501,1842759,287008,19293,,,,
2017-Q2,45888745,48350796,0.1587,1461253,9382091,,-315661,57881900,9015056,4832013,4183043,5337,59272,2003,19672,141,179422,9,0,0,1000,0,1620,75,0,0,1062251,-32372,-5042,20595,,,,
2017-Q1,44286254,47816352,0.1600,1347664,8652788,,-514261,55589792,8658062,4602899,4055163,5345,57975,3385,52069,494,179422,9,0,0,5454,0,1620,75,0,0,1182492,-43029,-6702,18861,,,,
2016,181369996,185662250,0.1640,6050491,36903020,,-5965150,182651488,29946904,17584851,12362053,14188,199630,23,359672,379,289413,51,71829,0,10863,0,592,95,169960,0,4332421,-6065369,-994457,336903,0,513137,170552,
2016-Q4,45818309,46956675,0.1640,1840605,11226174,,-2353109,45346419,7434842,4322837,3112005,4741,90974,7,92288,158,72353,13,25496,0,6035,0,444,75,59002,0,1211950,-3833662,-628554,92623,0,90974,59446,
2016-Q3,44273034,47627656,0.1630,1700120,10369332,,-2589319,44881403,7358599,4367283,2991316,4663,39481,3,185361,168,72353,13,20815,0,0,0,148,20,36986,0,1021956,-3820590,-626411,91729,0,39481,37134,
2016-Q2,44653216,45002460,0.1614,1574923,9605733,,-843009,41677708,6833332,3994397,2838935,4504,39481,13,54602,43,72353,13,10354,0,1207,0,0,0,36986,0,927517,2292500,375870,108739,0,39481,36986,
2016-Q1,46625436,46075459,0.1632,934844,5701782,,-171769,50745958,8320131,4900334,3419797,5477,29694,0,27421,10,72353,13,15164,0,3621,0,0,0,36986,0,1170996,-703617,-115363,108651,0,343201,36986,
2015,181666844,173471949,0.1719,5137080,29885457,4707,-1453102,196030302,33697609,19348661,14348948,22094,153392,6600,863367,986,81964,155,52028,0,7670,0,298,35,73898,0,5116153,13049938,2243284,397278,651,258251,74196,
2015-Q4,49105353,34208953,0.2006,1963714,11423581,2423,-389159,46472456,7988615,4491362,3497253,5429,,,,,20491,39,,,,,,,,,1243019,11793003,2027217,,,104859,,
2015-Q3,43754849,44669336,0.1801,845791,4920252,638,-486656,49039855,8429951,4836116,3593835,5562,,,,,20491,39,,,,,,,,,1281125,1847171,317529,,,0,,
2015-Q2,44772032,47644356,0.1761,1199532,6978081,1003,-263502,49699591,8543360,4948465,3594895,5537,82949,3139,17079,153,20491,39,21355,0,0,0,298,35,41737,0,1325649,1909221,328195,110502,280,82949,42035,
2015-Q1,44034610,46949304,0.1762,990186,5760245,938,-312276,50818400,8735683,5072718,3662965,5566,70443,3461,846288,833,20491,39,30673,0,7670,0,0,0,32161,0,1266357,1105067,189961,118815,371,70443,32161,
2014,175547796,184786466,0.1641,5622088,34257237,5612,-4624926,202466381,33227543,,,28226,749970,13221,914476,2278,1069799,0,122939,0,239561,96,3774,371,81209,0,1012255,7037900,1154919,441056,1167,1819769,84983,
2014-Q4,,46196617,0.1667,172788,1036411,981,-1156232,57136962,9388776,,,8465,178012,2976,143525,198,267450,0,26116,0,0,0,0,0,49893,0,134279,-1026307,-168417,115503,182,497279,49893,
2014-Q3,,46196617,0.1496,628912,4203321,902,-1156232,53865450,8644772,,,5231,244693,4270,252675,234,267450,0,15239,0,76020,13,755,110,8820,0,-486455,2632112,431930,102260,99,244693,9575,
2014-Q2,,46196617,0.1676,1601779,9556191,1037,-1156232,49153464,8196474,,,7629,186841,3185,123434,1414,267450,0,30223,0,87443,32,943,125,10604,0,-190050,2419222,396994,121297,256,186841,11547,
2014-Q1,,46196617,0.1654,3218609,19461314,2692,-1156232,42310505,6997521,,,6901,140424,2790,394842,432,267450,0,51361,0,76098,51,2076,136,11892,0,-153858,3012873,494412,101996,631,140424,13968,
2013,180974014,179635727,0.1776,7217929,40641492,2106,287895,146099080,25941567,,,26540,815051,14057,1111188,3358,1177476,0,179104,204,292985,161,7421,4573,58141,0,2974532,16428021,2917617,874078,28865,1992527,65562,
2013-Q4,,44908932,0.1783,2350550,13186635,427,-632581,40822801,7283488,,,6772,175482,3052,227097,225,294369,0,147975,0,87648,36,5702,4293,13238,0,445272,6286917,1116556,136064,26248,4439680,18940,
2013-Q3,,44908932,0.1627,1658581,10196573,652,353752,38047571,6164766,,,6411,209076,3621,267270,2600,294369,0,0,0,52871,46,441,65,15158,0,347162,5443077,966690,196501,280,209076,15599,
2013-Q2,,44908932,0.1855,2123478,11446332,661,492774,33390238,6183917,,,6539,219784,3341,220303,208,294369,0,13909,88,90988,52,873,150,14380,0,1392463,90104,16002,192792,1749,219784,15253,
2013-Q1,,44908932,0.1865,1085320,5820774,366,73950,33838470,6309396,,,6818,210709,4043,396518,325,294369,0,17220,116,61478,27,405,65,15365,0,789635,4607923,818367,248777,588,210709,15770,
2012,165655813,206960131,0.1878,6519113,34713062,1774,-348805,147841547,27769632,,,28883,907350,17386,1049059,942,4633750,0,98915,704,169953,200,31528,6269,61012,0,4789595,23195188,4356056,,27613,4633750,49536,
2012-Q4,,55036968,0.1812,1990705,10985822,361,-1373904,43412851,7833894,,,7003,249794,3880,194628,162,1158438,0,14475,186,57343,40,24644,6002,24753,0,593303,1776554,333637,,26598,3976194,6393,
2012-Q3,,55036968,0.1905,1954264,10261279,468,268727,35033656,6664084,,,6825,233968,3406,278491,253,1158438,0,20264,241,60714,60,3848,62,12291,0,682407,8470520,1590764,,248,233968,16139,
2012-Q2,,55036968,0.1892,1364203,7210423,341,878563,34827329,6578926,,,7228,220897,4314,190633,202,1158438,0,27022,184,6361,40,613,100,11558,0,1608088,4025328,755957,,248,220897,12171,
2012-Q1,45941100,41849227,0.1936,1209941,6249316,604,-122191,34567711,6692728,,,7827,202691,5786,385307,325,1158438,0,37154,93,45535,60,2423,105,12410,0,1905797,8922786,1675699,,520,202691,14833,
2011,146479074,162044093,0.1840,6477145,35197593,2588,-1757755,124690384,22945820,,,27332,650643,20820,825029,871,1364371,0,54773,93,224633,7,58575,7371,79483,0,3759052,19847857,3652450,427605,31303,4964041,138058,
2011-Q4,36637306,34531420,0.1747,1756977,10059408,612,566871,33391866,5802802,,,6879,147040,4285,136451,155,341093,0,34856,0,86670,7,44156,1864,25203,0,113882,22454594,4132148,106901,7826,170791,69359,
2011-Q3,25137006,44291624,0.1879,1944809,10349418,718,-615983,31191924,5863013,,,6738,171419,3761,285839,238,341093,0,19917,0,36043,0,5348,1578,12573,0,960236,693548,127628,106901,7826,171419,17921,
2011-Q2,42830003,41371822,0.1860,1372343,7377927,690,-1027155,29992719,5578865,,,6740,191821,5833,72665,151,341093,0,0,0,96134,0,5372,1848,26815,0,1103035,1165364,214453,106901,7826,191821,32187,
2011-Q1,41874759,41849227,0.1893,1403016,7410840,568,-681488,30113875,5701140,,,6975,140363,6941,330074,327,341093,0,0,0,5786,0,3699,2081,14892,0,1581899,837397,154100,106901,7826,4430010,18591,
2010,158907854,154401968,0.1911,7158445,37459946,3688,-1427776,123441472,23589169,,,27709,837670,28072,1407226,1277,1309904,0,0,0,49123,0,48258,6922,88612,0,7061236,2953858,564470,,,5016548,136870,
2010-Q4,,38600492,0.1923,3308767,17203802,1056,-446588,25935662,5058693,,,6332,173031,6098,188938,325,327476,0,0,0,20671,0,29441,2073,23518,0,1765309,738465,141118,,,4351909,52959,
2010-Q3,,38600492,0.1883,1331696,7072080,919,-297322,39155454,7386785,,,6363,179323,8998,372048,319,327476,0,0,0,1699,0,4331,750,22712,0,1765309,738465,141118,,,179323,27043,
2010-Q2,,38600492,0.1881,1388148,7381715,944,-1249231,29156742,5459109,,,7410,181905,5879,200321,225,327476,0,0,0,13920,0,9907,2196,22117,0,1765309,738465,141118,,,181905,32024,
2010-Q1,,38600492,0.1947,1129834,5802349,769,565365,29193614,5684582,,,7604,303411,7097,645919,408,327476,0,0,0,12833,0,4579,1903,20265,0,1765309,738465,141118,,,303411,24844,
2009,,169224883,,5367773,27617954,4079,1818372,127520044,24784551,,,32092,1214365,28031,1274090,1087,1091567,0,0,0,46497,0,76461,9801,169100,0,1797922,4018672,,,,2296696,209325,
2009-Q4,,42306221,,336777,6071615,1128,-4425879,29677405,1478579,,,7960,518795,6756,157285,152,272892,0,0,0,28757,0,62007,2301,22815,0,449481,1004668,,,,509559,48586,
2009-Q3,,42306221,,1178933,4494152,934,2910014,33787949,8863457,,,7900,231763,6602,259796,250,272892,0,0,0,10178,0,4883,2441,34485,0,449481,1004668,,,,231763,39368,
2009-Q2,,42306221,0.2143,1831974,8549624,933,1283010,33288622,7132932,,,8305,249758,7223,178569,213,272892,0,0,0,4912,0,4766,2569,52612,0,449481,1004668,,,,249758,57378,
2009-Q1,,42306221,0.2376,2020089,8502563,1084,2051227,30766068,7309583,,,7927,214049,7450,678440,472,272892,0,0,0,2650,0,4805,2490,59188,0,449481,1004668,,,,1305616,63993,
2008,,173101263,,6793808,,4239,9562708,,29485442,,,25922,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,43275316,,1788620,,2403,4800651,,8421114,,,4666,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,43275316,,2092476,,838,1505756,,6584334,,,6883,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,43275316,,1401797,,481,1048510,,7096709,,,7005,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,43275316,,1510915,,517,2207791,,7383285,,,7368,,,,,,,,,,,,,,,,,,,,,,
