Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,130113269,132530336,0.1616,2329706,14348677,0,7819707,88324553,14270346,7300814,6969532,8170,85838,3712,4848180,374,0,0,0,0,7795,9,46960,309,3240,136,-374608,2202234,369327,62585,0,85838,50200,
2018-Q4,64911134,66687355,0.1616,1614215,9990985,,3909854,44162276,7135173,3650407,3484766,4085,36143,1893,2432014,241,0,0,0,0,4842,3,44747,309,1485,60,-187304,-2951049,-476793,30079,0,36143,46232,
2018-Q3,65202135,65842982,0.1642,715491,4357691,,3909854,44162276,7135173,3650407,3484766,4085,49695,1819,2416166,133,0,0,0,0,2953,6,2213,0,1755,76,-187304,5153283,846120,32506,0,49695,3968,
2017,267320961,270126791,0.1655,2616050,15804220,3244,15035680,158881728,26299464,12138728,14160736,13961,236196,9520,12249122,579,0,247,0,0,48364,85,114987,956,72638,582,7446263,4473900,740558,98340,10032,236196,187625,
2017-Q4,68193682,66692081,0.1656,239162,1444838,164,3507971,36745976,6082509,2838232,3244276,4492,59925,2802,3355708,241,0,62,0,0,10368,6,34936,44,1659,144,1912960,-239553,-39653,20691,,,,
2017-Q3,64504782,65455089,0.1677,324878,1962672,647,3458993,36585648,6055970,2779961,3276009,4525,38413,2179,3364327,70,0,62,0,0,842,79,3668,572,3077,109,1682619,3349260,554398,29790,,,,
2017-Q2,68553249,69303565,0.1707,854115,5159925,797,3939698,41520348,6872804,3167135,3705669,4668,44742,2376,3126310,126,0,62,0,0,7347,0,72772,262,2287,192,1940829,-101294,-16767,25214,,,,
2017-Q1,66069249,68676056,0.1726,1197895,7236785,1636,4144938,44029755,7288182,3353399,3934783,5130,46625,2163,2396633,142,0,62,0,0,1448,0,3244,78,2350,137,1989868,1465486,242580,22645,,,,
2016,264569747,264576914,0.1789,3321912,18571646,4238,11849958,144137947,25781968,14144145,11637823,14584,152235,8219,12483678,1494,0,0,6317,87,32371,559,30998,429,8024,464,-2210513,7303919,1306453,174787,10033,152235,39279,
2016-Q4,68555919,74084322,0.1789,1294251,7235706,1146,2449512,32839748,5874049,3206446,2667603,4690,44114,2638,3292678,453,0,0,6317,87,11618,175,22980,204,2561,191,-742666,-4422612,-791073,17721,3634,44114,25541,
