Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017,232813162,218077373,0.2139,924597,4321924,,10028342,118079036,25260863,8431473,16829390,7146,145547,9530,16210726,659,,0,0,0,7330,0,2844,19,0,0,13787627,775977,166006,,,,
2017-Q4,56578231,54605751,0.2139,54866,256463,,1973750,25467067,5448216,1888777,3559439,2219,11629,903,4016151,1,,,0,0,6120,0,0,0,0,0,3169761,-2869652,-613910,,,,
2017-Q3,59645118,51599907,0.2207,58907,275353,,2411511,29160859,6238436,2024182,4214254,2458,35735,2547,4068484,210,,,0,0,730,0,0,0,0,0,3132550,2605016,557296,,,,
2017-Q2,58537864,55443302,0.2184,127797,597372,,2806793,31419696,6721673,2213202,4508471,2540,53933,2980,3969218,200,,,0,0,240,0,130,0,0,0,3594820,376824,80615,,,,
2017-Q1,58051950,56428413,0.2185,683028,3192736,,2836288,32031413,6852538,2305312,4547226,2795,44250,3100,4156873,248,,,0,0,240,0,2714,19,0,0,3890496,663790,142006,,,,
2016,225789125,207300397,0.2242,2145618,9569562,,5232085,109527397,24557447,12088364,12469083,8378,198031,13944,16195367,1500,0,0,0,0,3318,239,8972,87,153335,0,4249538,5919119,1327142,46092,8348,198031,162307
2016-Q4,60613510,53806509,0.2242,1048779,4677606,,686623,27985905,6274799,3085467,3189332,2772,49625,3128,3869031,152,0,0,0,0,2598,239,1434,27,153335,0,1109594,-3744446,-839553,12491,924,49625,154769
2016-Q3,56156953,55194506,0.2384,146085,651547,,567543,27372833,6137340,2999204,3138136,2955,50415,4083,4137760,276,0,0,0,0,240,0,1238,0,0,0,1258552,3889332,872038,9175,2908,50415,1238
2016-Q2,53182497,50711754,0.2329,570006,2542253,,2005197,27115932,6079740,3008327,3071413,2903,49692,2853,4216954,579,0,0,0,0,240,0,6134,40,0,0,1078010,3443401,772055,11003,1045,49692,6134
2016-Q1,55836166,47587628,0.1816,380748,1698156,,1971317,27052727,6065568,2995366,3070202,3108,43713,3880,3976208,493,0,0,0,0,240,0,166,20,0,0,803381,2330832,522602,13423,3471,43713,166
2015,230928420,203357194,0.2429,2611648,10750603,3100,8486180,106175444,25790016,11757108,14032908,12496,203793,11016,16995211,838,717035,1616,0,0,4600,0,3510,228,157305,8,11566651,6774343,1645488,60377,10605,1166049,176391
2015-Q4,73515852,50948369,0.3580,1206384,4966589,1940,1859359,24192334,5876318,2649804,3226514,2948,48874,2261,4248803,221,179259,404,0,0,1000,0,1094,125,39326,0,2105101,3153152,765901,17675,9760,1049544,158301
2015-Q3,53430006,50591444,0.2493,499634,2056953,532,2125876,27308084,6633134,3023727,3609407,3180,45641,2933,4281325,110,179259,404,0,0,0,0,1440,43,39326,0,5141079,1130915,274699,15549,220,45641,1440
2015-Q2,52830406,53310151,0.2518,278119,1144995,373,2272037,26888195,6531143,3002312,3528831,3219,70575,3131,4221536,177,179259,404,0,0,0,0,257,19,39326,0,2308662,2800590,680263,6951,315,64138,257
