Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017,142456762,143143526,0.1559,3678075,23593393,,6530053,113182578,17644514,6578557,11065958,9182,76502,2628,37838,9,0,0,0,0,5530,0,0,0,0,0,13121840,-169346,-26400,,,,
2017-Q4,35524393,33303793,0.1559,968202,6210634,,1575391,27161982,4234397,1594970,2639427,2922,23079,566,37838,9,0,0,0,0,520,0,0,0,0,0,3292119,1102552,171882,,,,
2017-Q3,35913145,37119563,0.1579,762378,4890352,,1566799,28500936,4443132,1669707,2773425,3019,14283,977,0,0,0,0,0,0,1650,0,0,0,0,0,3182040,65843,10265,,,,
2017-Q2,35849080,36162950,0.1599,924646,5931241,,1846284,30087499,4690468,1725676,2964792,2892,5540,481,0,0,0,0,0,0,350,0,0,0,0,0,3191700,-916074,-142811,,,,
2017-Q1,35170145,36557220,0.1618,1022848,6561165,,1541580,27432161,4276516,1588203,2688313,3020,33600,604,0,0,0,0,0,0,3010,0,0,0,0,0,3455981,-421667,-65735,,,,
2016,139740643,148323931,0.1641,3402216,20728074,,3079025,88503638,14526603,6615128,7911475,8231,84327,2470,132794,161,0,0,0,0,26049,270,0,0,210291,0,-204100,-4961203,-814310,201491,1377,84327,210291
2016-Q4,35321386,40204074,0.1641,1249529,7612780,,424153,23698642,3889792,1783482,2106310,2475,66160,377,30447,11,0,0,0,0,2899,0,0,0,39107,0,-167898,-2888621,-474126,50373,347,66160,39107
2016-Q3,35660265,36473064,0.1661,979677,5968702,,209358,21910028,3596217,1648856,1947361,2587,5010,738,40805,15,0,0,0,0,0,0,0,0,58503,0,-99749,-1802867,-295915,50373,408,5010,58503
2016-Q2,34105578,37431998,0.1625,617691,3763296,,1111392,20119989,3302408,1494290,1808118,2542,4872,431,45337,17,0,0,0,0,17625,270,0,0,46938,0,117191,-425381,-69820,50373,124,4872,46938
2016-Q1,34653414,34214795,0.1648,555320,3383296,,1330966,22774979,3738186,1688500,2049686,3021,10191,924,16205,118,0,0,0,0,5525,0,0,0,65743,0,-53643,155665,25550,50373,537,10191,65743
2015,143595493,132597965,0.1816,3926011,21617399,3203,5550140,94268905,17119232,7860356,9258876,11527,31050,2666,102244,451,1556,6,0,0,10709,0,0,0,31153,0,3691856,8394483,1524438,201132,5976,29112,30819
