Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2017,389211688,374114333,0.1679,7587079,45193272,,29291832,367993876,61779078,19799647,41979431,23636,90348,5727,2529393,1197,914357,225,558886,100,103697,1548,101625,4,50077,142,38976233,-4010502,-673286,379651,0,1239884,151702,
2017-Q4,97464004,92798926,0.1679,2272241,13534855,,6651199,87201139,14639390,4981600,9657790,8478,40088,2119,1475543,895,228589,56,125726,25,18823,650,25331,0,12040,102,9913099,-2680126,-449941,117383,,,,
2017-Q3,95429772,90424352,0.1683,1424048,8482496,,6776297,87686083,14720803,4613475,10107328,8465,18488,1452,369645,92,228589,56,125726,25,11567,624,25373,0,9083,0,9665375,3376590,566864,90028,,,,
2017-Q2,98094628,98062924,0.1698,1882163,11211309,,7573650,92894847,15595254,4860631,10734622,8532,15536,1475,357058,111,228589,56,181708,25,20691,262,25306,0,9871,40,9442158,-3073061,-515908,88300,,,,
2017-Q1,98223284,92828131,0.1706,2008628,11964611,,8283357,100211808,16823631,5343941,11479690,8824,22299,681,327147,99,228589,56,125726,25,48666,12,25615,4,19083,0,9935063,-1633905,-274301,83940,,,,
2016,391587728,386006011,0.1755,7428236,42334283,,21189413,350070832,61425597,26726790,34698807,24115,162942,17029,2156780,1036,372586,184,585352,95,117322,690,1220,0,50275,0,16577501,-4736753,-831140,271114,578,703173,51495,
2016-Q4,97666328,99448935,0.1755,3487190,19873859,,5388738,99607634,17477773,7658901,9818872,8711,59617,2218,1365237,785,93147,46,191353,25,16949,0,650,0,9578,0,4456254,-10812182,-1897172,80984,0,599848,10288,
2016-Q3,96150450,95947634,0.1787,1751515,9982067,,3731007,83464060,14645121,6370742,8274379,8598,40538,1968,371813,102,93147,46,138653,25,9118,38,0,0,9578,0,4051490,2104252,369225,127644,232,40538,9755,
2016-Q2,96638869,94999781,0.1737,1524831,8690171,,5676417,79478237,13945744,6031858,7913886,8241,31166,1886,396962,149,93147,46,161489,25,26610,302,0,0,21119,0,3793612,1537977,269863,,230,31166,21234,
2016-Q1,101132081,95609661,0.1801,664699,3788187,,6405082,87520901,15356960,6665289,8691671,9444,31672,10957,22768,0,93147,46,93857,20,64645,350,278,0,10000,0,4276142,2433201,426945,62486,116,31672,10278,
