Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,150250583,161509813,0.1717,3172909,18420425,0,-13485145,278022131,47724585,35919430,11805155,23676,36051,2425,4078363,0,0,0,0,0,78842,1553,0,0,15390,142,-4912956,647820,119861,132440,2269,36051,15390,
2018-Q4,76137384,84656121,0.1717,2081703,12127071,,-6742572,139011066,23862292,17959715,5902578,11838,13354,756,2014805,0,0,0,0,0,25933,1168,0,0,10408,116,-2456478,-4348998,-746538,68291,1246,13354,10408,
2018-Q3,74113199,76853692,0.1734,1091206,6293355,,-6742572,139011066,23862292,17959715,5902578,11838,22697,1669,2063558,0,0,0,0,0,52909,385,0,0,4982,26,-2456478,4996818,866400,64149,1023,22697,4982,
2017,303725652,331806223,0.1755,5003165,28512920,5057,-22192575,571816146,100336642,66045095,34291547,37038,152612,7145,16851580,1,582753,336,0,0,187015,6620,1274,103,25605,442,9143906,7742680,1358609,225886,5639,1039359,26879,
2017-Q4,77213651,83797114,0.1755,918983,5237264,330,-5155047,137834568,24185847,15673099,8512748,13887,88613,2094,4231474,1,145688,84,0,0,141862,4188,1274,103,8600,117,3157137,724126,127062,73927,,,,
2017-Q3,77728547,81297409,0.1793,1067732,6084981,941,-5426598,147733284,25922776,16761351,9161425,13738,23686,1312,4491123,0,145688,84,0,0,32930,785,0,0,6574,70,2692990,4418301,775280,54286,,,,
2017-Q2,74393317,81904624,0.1806,1369462,7804532,1357,-5298546,145536843,25537366,16763583,8773783,14013,27575,1402,4204795,0,145688,84,0,0,14789,1132,0,0,4595,144,2396279,1324261,232368,51954,,,,
2017-Q1,74390138,84807076,0.1845,1646988,9386144,2429,-6323729,140711451,24690654,16847063,7843591,15321,20057,2337,3924188,0,145688,84,0,0,12985,515,0,0,5795,111,885547,1275992,223898,45719,,,,
2016,289639278,304924151,0.1902,6916782,36373058,8100,-36768412,482198117,91695874,72437638,19258236,37655,156345,9908,15344222,2120,0,0,0,0,153096,3237,4367,81,14521,178,-3795823,7208606,1370805,171036,4515,156345,18888,
2016-Q4,76874215,81282522,0.1902,1765842,9285978,2014,-12155663,120186799,22854991,18031410,4823581,13518,31943,3865,4039205,1276,0,0,0,0,74649,1191,2557,0,3540,35,-934445,-6374148,-1212122,49018,168,31943,6097,
2016-Q3,71406760,81072174,0.1988,1475612,7759755,2233,-12442958,123168122,23421926,18569886,4852040,13846,57658,910,3753278,164,0,0,0,0,16973,480,0,0,2252,20,-730122,5468307,1039866,31442,3003,57658,2252,
2016-Q2,69488872,69270313,0.1968,2010835,10574314,2083,-6032766,117274322,22301148,17536388,4764760,14850,24577,1302,4488908,164,0,0,0,0,45797,1453,0,0,6583,83,-808284,2999556,570402,,866,24577,6583,
2016-Q1,71869431,73299142,0.1710,1664492,8753010,1770,-6118746,121568874,23117809,18299954,4817855,15694,42167,3831,3062831,516,0,0,0,0,15677,113,1810,81,2146,40,-1322974,5114889,972659,,478,42167,3956,
2015,282110092,303495761,0.1971,7733976,39232810,7776,-21632080,468239719,92290049,66072920,26217129,60528,152895,0,14426607,0,0,0,0,0,247061,0,524,0,26495,0,-3960384,10856277,2139772,124620,4715,156448,27019,
2015-Q4,73458447,77107518,0.2356,2250026,11415658,1488,-5028020,118848801,23425099,16704188,6720911,15349,28687,,3606652,,0,0,,,93395,,,,2742,,-2009166,10245388,2019366,31155,1179,39112,6755,
2015-Q3,70623568,74075381,0.2223,2571960,13049012,1757,-5516347,119933999,23638991,16868466,6770525,15197,36016,,3606652,,0,0,,,27614,,,,80,,2154780,-2602674,-512987,31155,1179,39112,6755,
2015-Q2,69869120,78577208,0.2260,1462608,7420639,2035,-5049685,116571888,22976319,16260167,6716152,15277,53193,,3606652,,0,0,,,107099,,,,1873,,-1957015,2303009,453923,31155,1179,39112,6755,
2015-Q1,68158957,73735654,0.2296,1317416,6683996,2268,-6052220,112885031,22249640,16240099,6009541,14705,36945,,3606652,,0,0,,,15400,,524,,6800,,-2148982,3449640,679924,31155,1179,39112,6755,
2014,266480354,289636158,0.1947,10010043,51412650,10236,-31400270,316514194,61620280,,,52901,532461,6605,7221024,2,0,0,0,0,120440,9939,725,60,8799,65,-9207240,2522045,491042,156077,3704,532461,9524,
2014-Q4,,72409040,,1356308,7918657,3199,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2014-Q3,,72409040,,1356308,7918657,3495,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
2014-Q2,,72409040,,1489572,7967948,2298,-5585672,102162515,20585299,,,,,,,,0,0,,,,,,,,,,,,,,,,
2014-Q1,,72409040,,5807855,27607389,2182,-7182394,70683645,14869946,,,,,,,,0,0,,,,,,,,,,,,,,,,
2013,277492145,274119296,0.2245,8045717,35836117,3636,-28291672,322897212,72495004,,,67606,1337123,4623,5508806,2846,10890516,0,0,0,340462,13075,2633,0,13846,83,4098043,30853251,6926555,54051,13827,1337123,16479,
2013-Q4,,68529824,,2011429,8959029,,,,,,,,,,,,2722629,0,,,,,,,,,,,,,,,,
2013-Q3,,68529824,,2011429,8959029,,,,,,,,,,,,2722629,0,,,,,,,,,,,,,,,,
2013-Q2,,68529824,,2011429,8959029,,,,,,,,,,,,2722629,0,,,,,,,,,,,,,,,,
2013-Q1,,68529824,,2011429,8959029,,,,,,,,,,,,2722629,0,,,,,,,,,,,,,,,,
2012,223487275,305170051,0.2114,7388701,34957293,6187,-43220982,369906643,78184814,,,82722,182687,6842,5714390,70,3839206,0,0,0,260834,14730,0,0,10402,0,-16985647,17756603,3753746,61036,9430,3839206,10402,
2012-Q4,,76292513,,1847175,8739323,,,,,,,,,,,,959802,0,,,,,,,,,,,,50528,231,4202999,3814,
2012-Q3,,76292513,,1847175,8739323,,,,,,,,,,,,959802,0,,,,,,,,,,,,,982,-452953,4068,
2012-Q2,,76292513,,1847175,8739323,,,,,,,,,,,,959802,0,,,,,,,,,,,,,4273,38673,1005,
2012-Q1,,76292513,,1847175,8739323,,,,,,,,,,,,959802,0,,,,,,,,,,,,10508,3944,50886,1515,
2011,,310021201,,5914857,,,,,,,,,,,3339986,,,,0,,205500,,,,,,,7390534,,83369,0,2602430,2425945,
2011-Q4,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,77505300,,1478714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,310219204,,5750506,,,,,,,,,,,5673329,,,,0,,3380,,,,,,,8294373,,84519,0,2371521,925120,
2010-Q4,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,21130,,592880,17628,
2010-Q3,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,21130,,592880,104160,
2010-Q2,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,21130,,592880,11677,
2010-Q1,,77554801,,1437627,,,,,,,,,,,,,,,,,,,,,,,,,,21130,,592880,6520,
2009,,301613796,,3052600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,75403449,,763150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
