Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017-Q3,,,,,,,686859,5130893,32515166,3468,,,,,,,,,,,,,,,2559200,,,,,,
2017-Q2,30908643,29507858,0.1578,809388,5130061,,768162,5181289,32834529,3532,1807,673,28991,,,,,,11717,,175,,300,50,2677799,-2340450,-369323,,,,
2017-Q1,30365005,31302614,0.1566,675952,4315707,,816086,5241257,33469073,3495,3144,1142,1668,,,,,,32145,,71,,444,,2676008,78443,12284,,,,
2016,118315995,120646101,0.1600,2224727,13900377,,-1313246,14966277,85069980,9325,54356,50,60650,0,12656,0,38961,0,49084,31200,326415,0,60114,0,6082242,308226,49331,28619,6421,88706,386529
2016-Q4,30710488,33434129,0.1600,,,,,,,,,,,,,,,,,31200,,,,,,,,,,,
2016-Q3,29622365,31072921,0.1596,308203,1931094,,-1033924,5820490,27255489,3570,1125,50,1175,0,0,0,0,0,6930,0,0,0,326344,0,1365044,1474602,236007,,808,1125,326344
2016-Q2,28370671,28040815,0.1535,480747,3142138,,378175,3959873,25881520,3280,,,,,,,,,,,,,,,1291107,2055596,328994,,,,
2016-Q1,29612471,28098236,0.1608,403990,2487624,,-128664,5185914,31932971,3932,,,,,,,,,,,,,,,1098468,420772,67344,,,,
2015,121646184,109622889,0.1750,2996425,17119961,3630,3756882,21183648,121049417,15712,125699,0,37509,0,62305,359,117003,0,36403,31200,0,0,43336,0,8392314,4044778,707836,23895,21009,222723,43336
2015-Q4,34802227,21277612,0.2105,1581938,9039644,2219,959039,5366544,30665963,3902,5326,,,,,,29251,,,31200,,,4653,,2024084,4468985,782072,5974,5252,55681,10834
2015-Q3,28179659,27577662,0.1759,462977,2645582,421,954104,5514957,31514039,3954,10944,,,,,,29251,,4988,,,,15627,,2115413,2092696,366222,5974,5252,55681,10834
2015-Q2,29631342,29567627,0.1789,425303,2430304,525,1043492,5297844,30273397,4032,13888,,,,,,29251,,5236,,,,861,,2125381,-1968178,-344431,5974,5252,55681,10834
2015-Q1,29032956,31199988,0.1736,438776,2507289,674,797194,5004303,28596018,3824,14205,,,,,,29251,,18100,,,,16195,,2127436,962333,168408,5974,5252,55681,10834
2014,118880612,110166472,0.1769,2936744,16600934,4043,1938397,19722551,114053621,21162,254789,6507,64023,0,0,0,0,0,42109,305,0,0,82581,459,11853673,5479811,969379,4934,15430,254789,82581
2014-Q4,,27541618,,35787,673473,778,2263426,5787788,37545971,6008,,,,,,,,,,31200,,,,,,,,,,,
2014-Q3,,27541618,0.1741,492385,2827651,567,29744,5408129,30132757,5810,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,27541618,0.1823,801234,4394758,705,1102923,4186259,22868211,5034,,,,,,,,,,,,,,,,,,,,,
