Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2017-Q2,22904478,23806884,0.1562,499677,3198005,,2613948,5637906,36001952,4438,74366,2879,101284,83,,,,,183,,36931,748,41006,2842,744480,-463962,-72471,,,,
2017-Q1,22547527,23560946,0.1571,652494,4153161,,2932315,6079965,35063237,4534,91834,1869,14330,10,,,,,1120,,40986,816,38601,3009,1714527,530597,83357,,,,
2016,93128530,94782323,0.1642,2234347,13609530,,2096534,26503191,128359097,11863,513445,23406,423858,337,0,0,0,0,4174,0,158490,4932,216648,10330,3907828,-1874985,-307826,2269,159939,513353,374866
2016-Q4,23428202,24661489,0.1642,794394,4832083,,-12808,6784082,33052576,4573,149802,11321,117676,137,0,0,0,0,906,0,38698,2654,121545,2557,1082874,-1785571,-293146,933,118994,149802,160243
2016-Q3,23177690,24906827,0.1657,609265,3705989,,-209133,6505712,31359327,4629,102762,4631,35776,10,0,0,0,0,866,0,19125,226,26865,2546,1003432,-112754,-18511,456,6600,102762,45990
2016-Q2,22286801,22253028,0.1591,531028,3230096,,1072755,6388867,30648587,4299,102718,3897,257602,188,0,0,0,0,892,0,43709,1051,31040,2359,839924,163972,26920,236,21405,102626,74749
2016-Q1,24235838,22960979,0.1659,302720,1841362,,1274570,6824530,33298607,4681,158163,3557,12804,2,0,0,0,0,1510,0,56958,1001,37198,2868,1022534,-140633,-23088,644,12940,158163,93884
2015,99642559,95462165,0.1787,3247478,18169177,3922,5836203,23724322,132760616,19374,345834,0,482104,0,0,0,0,0,6667,0,176190,0,307560,0,3194293,4337324,775080,1077,169801,289924,483750
2015-Q4,27969680,22412267,0.2226,2099592,11749256,2542,1469177,5793120,32418133,4649,3795,,120526,,,,,,,,88706,,1502,,867543,-2353382,-420549,269,42450,72481,120938
2015-Q3,23271929,24177361,0.1747,306850,1717123,392,1351654,5913447,33091476,4892,56230,,120526,,,,,,1255,,48151,,63104,,822744,3861312,690016,269,42450,72481,120938
