Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2017,,,,4078468,,4204,3401720,,,,,51854,370360,62425,807235,1698,1142868,390,0,0,32516,4,478,10,,,23934850,,2549813,,,,,
2017-Q4,,,,,,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q3,,,,,,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q2,,,,,,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-Q1,,,,,,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,0.1813,5569686,30717837,6238,10074769,,,,,28183,369497,6743,721060,1194,2618857,14832,0,0,126801,1,8225,1154,,,19781251,17364890,3148561,,,,,
2016-Q4,,,,,,1410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q3,,,,,,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q2,,,,,,1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-Q1,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,0.1941,5268239,27141879,10193,7640766,,,,,27175,360381,7046,612397,1514,1016388,354,0,0,0,0,7741,335,,,22854182,14753858,2863724,,,,,
2015-Q4,,,,,,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q3,,,,,,2470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q2,,,,,,2894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-Q1,,,,,,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,308961435,,,,,11919,12496802,,,,,22739,268023,7361,649563,1941,1537720,414,0,0,0,0,4282,3,0,0,22033614,,,,,,,
2014-Q4,,,,,,2832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q3,,,,,,2926,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q2,,,,,,2960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Q1,,,,,,3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,9550872,,3399,9555716,,,,,21531,386195,11946,805696,1657,2035123,185,0,0,128,120,11478,14551,2758,4,16528982,,,,,,,
2013-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,5260955,,,,,21807,457282,15874,1122701,2375,1946631,831,0,0,0,0,31410,36659,9850,5,10657738,,,,,,,
2012-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
