Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - NPSR,Unreimbursed Medicaid - Net patient care,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount,
2018,60643382,61234183,0.1521,838343,5455674,0,2676502,67335528,10241715,3384645,6857070,6284,31094,2339,0,0,0,0,0,0,15025,0,9147,0,42142,0,5964696,182283,32493,7372,0,31094,51289,
2018-Q4,30608764,31102118,0.1521,423539,2784616,,1338251,33667764,5120858,1692322,3428535,3142.06,16305,1347,0,0,0,0,0,0,1388,0,9000,0,23346,0,2982348,-1309528,-199179,3326,0,16305,32346,
2018-Q3,30034619,30132065,0.1553,414803,2671057,,1338251,33667764,5120858,1692322,3428535,3142.06,14789,992,0,0,0,0,0,0,13637,0,147,0,18796,0,2982348,1491811,231672,4046,0,14789,18943,
2018-Q2,31544193,31873772,0.1560,417262,2675533,103,376396,28932623,4512182,1809630,2702552,3215,8119,1127,1219,0,5278,18,0,0,9244,0,175,0,0,0,2711739,-423620,-66066,3815,0,68348,12697,
2018-Q1,30734417,29013869,0.1574,543542,3485251,547,628431,32515166,5070897,1926262,3144635,3468,12001,2096,4980,0,5278,18,0,0,5084,35,175,0,12368,0,2425788,1043043,162668,4026,0,12001,12543,
2017,123552258,121698113,0.1560,2433917,15606551,3451,2503933,127751391,19923446,7741686,12181760,9120,39725,5729,60160,0,21111,71,0,0,69339,35,596,0,50524,50,10287779,-1642584,-256169,16133,0,91309,51120,
2017-Q4,31544193,31873772,0.1560,417262,2675533,103,376396,28932623,4512182,1809630,2702552,3215,8119,1127,1219,0,5278,18,0,0,9244,0,175,0,0,0,2711739,-423620,-66066,3815,0,68348,12697,
2017-Q3,30734417,29013869,0.1574,543542,3485251,547,628431,32515166,5070897,1926262,3144635,3468,12001,2096,4980,0,5278,18,0,0,5084,35,175,0,12368,0,2425788,1043043,162668,4026,0,12001,12543,
2017-Q2,30908643,29507858,0.1581,800058,5130061,1381,709160,32834529,5120703,2012563,3108140,3532,6745,1270,49273,0,5278,18,0,0,11932,0,175,0,300,50,2538162,-2340450,-365004,4700,0,6745,12997,
2017-Q1,30365005,31302614,0.1568,673055,4315707,1420,796107,33469073,5219663,1993231,3226433,3495,4215,1236,4688,0,5278,18,0,0,32145,0,71,0,12812,0,2627171,78443,12234,3592,0,4215,12883,
