Period,Total Operating Expenses,Net Patient Revenue,Cost-to-Charge Ratio,Financial Assistance - Amount,Financial Assistance - Billings,Financial Assistance - Persons served,Unreimbursed Medicaid - Amount,Unreimbursed Medicaid - Amount at cost,Unreimbursed Medicaid - Billings,Unreimbursed Medicaid - Persons served,Community Health Improvement - Amount,Community Health Improvement - Persons served,Health Professions Education - Amount,Health Professions Education - Persons served,Subsidized Health Services - Amount,Subsidized Health Services - Persons served,Research - Amount,Research - Persons served,Cash/In-Kind Contributions - Amount,Cash/In-Kind Contributions - Persons served,Community Building Activities - Amount,Community Building Activities - Persons served,Community Benefit Operations - Amount,Community Benefit Operations - Persons served,Medicare Shortfall - Amount,Bad Debt - Billings,Bad Debt - Amount,Language Assistance Services - Amount,Volunteer Services - Amount,Subsidized Health Services (AG) - Amount,Other Community Benefits - Amount
2016,2080150130,2085868482,0.1790,42794040,234355715,,45211553,326575391,1547604350,150242,2373262,55145,63699145,5438,2893847,2336,771549,57,755404,10594,1245123,7531,1569720,10663,44552075,36593612,15402872,1378522,259022,3371305,2813457
2016-Q4,536771549,552006974,,3719336,22047302,,-1464567,25023073,108529780,13336,293406,11636,885449,436,245121,,,,16228,1377,60563,3068,156345,2557,3451216,-6225796,#VALUE!,2666,125474,583644,216908
2016-Q3,513381974,527582983,,9610863,51882401,,-99504,115116023,478419877,55006,278176,8023,10257860,620,,,138653,25,59135,1829,41809,708,382821,2566,6050627,19943866,5770996,2256,17187,277689,424630
2016-Q2,503886152,502936617,,10056414,55352547,,11889991,89577915,465744951,54999,315159,14204,12635676,2533,352330,758,9967,16,82242,3870,84697,1518,87436,2604,-774096,31850154,8014860,881,38456,667397,172133
2016-Q1,526110455,503341908,,8140355,42674315,,12714127,96858380,494909742,60960,527998,21282,11071084,1849,459760,1578,9592,16,107940,3518,93487,2237,61194,2936,192800,19315930,5979932,125770,26365,987758,154409
2015,2109842935,1995716330,0.1911,47009228,242740313,47599,84923155,398523536,2001814323,240160,2727304,52167,63426585,7433,5150993,9081,389691,,1117967,16361,356540,6121,1244996,602,82192862,137128761,32564766,1490829,287757,8934782,1613064
2015-Q4,593347155,457665445,,19768994,103411317,27343,22938104,99199645,498924598,59048,821240,10335,17367123,2642,1989379,,2270,,311055,5785,158858,1439,216129,172,16379475,81604946,17600815,209040,87625,7339001,541496
2015-Q3,504202116,504448634,,9824016,49904658,7291,20045759,101937466,512042098,60571,391000,8860,14899935,1290,1032585,1171,2270,,237410,3505,128564,977,231985,141,31540935,32050639,6991464,233451,65749,462362,340492
2015-Q2,512503866,528818472,,7887827,40078603,7787,22848231,99394727,499291647,60566,607718,16794,15064873,1645,1032585,1171,2270,,164947,3208,22725,3664,328193,91,17777158,19113507,5396552,285687,65328,636869,365816
2015-Q1,499580816,504783779,,8529270,43494130,8111,19071474,97991697,491555982,59975,656115,16178,16078642,1856,1032585,1171,2270,,386544,3863,46324,41,345740,198,16495285,21988331,5841725,362129,73240,706392,353398
2014,2656874200,2438624830,0.1804,65213582,346279453,46752,51678757,238959690,1526014033,246132,3896918,170714,46203463,9214,10707950,214,680143,,1110305,28965,297375,9673,1384275,12299,19885891,80178915,10001967,1503314,340525,14504560,2044240
2014-Q4,33102077,610524513,,8640502,50360319,5341,23889147,45279595,282898776,43510,749231,41813,13220965,1982,4623771,54,261990,,131218,3470,67897,1500,346948,2588,6168412,16725674,1916892,290033,157249,5901659,457561
2014-Q3,32784019,609292822,,10036764,58643198,3548,16239230,48427047,291063147,62705,847927,36375,3634647,1691,1979118,54,103682,,180710,4325,67344,3369,276929,2556,2254298,19736115,2452410,281554,56053,1841770,385103
2014-Q2,33316684,610658869,,12826576,67730081,6624,22975941,84406090,415348398,46010,754326,38856,3931138,3226,1979118,54,146666,,275698,6753,85331,2061,285013,3567,1744567,20513005,2548315,290915,56319,1764883,405941
2014-Q1,32215962,608148627,,33934800,169545855,11921,20681684,64858780,311193710,39256,697734,37079,3971293,1902,1979118,54,167804,,237061,4117,67842,2816,292288,3064,4359962,18922561,2250428,271079,50218,1730934,393945
